cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
8133,2016,2017,0.9998,36085,36084,LREN3,2018-02-08,2018-02-08,2018-05-14,-0.08884416349600177,0.0453764896048241,-0.13422065310082587
8133,2017,2018,0.9607,36084,38986,LREN3,2019-02-07,2019-02-07,2019-05-13,0.0264129181987951,-0.028378086509495914,0.05479100470829101
8133,2018,2019,0.9908,38986,40252,LREN3,2020-02-06,2020-02-06,2020-05-12,-0.4009416877369768,-0.3239695286049137,-0.07697215913206312
8133,2019,2020,0.9887,40252,43941,LREN3,2021-02-11,2021-02-11,2021-05-17,0.14496064976632583,0.030494930294536093,0.11446571947178974
8133,2020,2021,0.7811,43941,106147,LREN3,2022-03-17,2022-03-17,2022-06-17,0.03668122252954742,-0.11718977791373308,0.1538710004432805
8133,2021,2022,0.9505,106147,119042,LREN3,2023-02-16,2023-02-16,2023-05-23,-0.03921568621886329,-0.00011760804340787967,-0.03909807817545541
8133,2022,2023,0.9908,119042,125206,LREN3,2024-03-14,2024-03-14,2024-06-14,-0.2253179889627306,-0.06286781961026378,-0.1624501693524668
8451,2015,2016,0.4973,7399,11521,POMO4,2017-02-23,2017-02-23,2017-05-30,-0.02439024420687408,-0.051868483587426906,0.027478239380552827
8451,2016,2017,0.9927,11521,11812,POMO4,2018-02-22,2018-02-22,2018-05-24,-0.045569620248062326,-0.0757227917396548,0.030153171491592468
8451,2017,2018,1.0,11812,11812,POMO4,2019-02-26,2019-02-26,2019-05-30,-0.08564231750933016,-0.0014870520734612258,-0.08415526543586893
8451,2018,2019,0.7384,11812,15004,POMO4,2020-02-27,2020-02-27,2020-05-29,-0.4666666666666667,-0.15129520748469416,-0.3153714591819725
8451,2019,2021,0.9118,15004,17116,POMO4,2022-02-25,2022-02-25,2022-05-31,-0.010344827710202176,-0.015833474306698347,0.005488646596496172
8451,2021,2022,0.9871,17116,17742,POMO4,2023-02-28,2023-02-28,2023-05-31,0.4620253164186827,0.032431882268819656,0.42959343414986306
8451,2022,2023,0.9571,17742,19811,POMO4,2024-02-27,2024-02-27,2024-05-28,-0.04668989553811753,-0.060064301317562685,0.013374405779445153
8451,2023,2024,0.994,19811,19901,POMO4,2025-02-25,2025-02-25,2025-05-30,-0.05844155842857135,0.08768982255049429,-0.14613138097906564
8656,2015,2016,0.9549,69164,57675,GOAU4,2017-02-22,2017-02-22,2017-05-29,-0.23599320880815378,-0.07039862486340853,-0.16559458394474524
8656,2016,2017,0.9942,57675,57459,GOAU4,2018-02-28,2018-02-28,2018-05-30,-0.13578680202315618,-0.10075698046209891,-0.03502982156105727
8656,2017,2018,0.9368,57459,59409,GOAU4,2019-02-21,2019-02-21,2019-05-27,-0.08321579693629333,-0.02133469070723304,-0.06188110622906029
8656,2018,2019,0.943,59409,68295,GOAU4,2020-02-19,2020-02-19,2020-05-25,-0.4457593688062077,-0.26480222730299974,-0.18095714150320796
8656,2019,2020,0.9148,68295,66033,GOAU4,2021-02-24,2021-02-24,2021-05-26,0.1981981982975578,0.07194216055672542,0.12625603774083238
8656,2020,2021,0.9573,66033,63586,GOAU4,2022-02-23,2022-02-23,2022-05-27,0.20948616600165626,-0.0005886207196100779,0.21007478672126634
8656,2021,2022,0.9869,63586,66907,GOAU4,2023-03-01,2023-03-01,2023-06-01,-0.12432432439555974,0.05920399997432568,-0.18352832436988542
8656,2022,2023,0.8066,66907,82938,GOAU4,2024-02-20,2024-02-20,2024-05-21,0.09552238813534131,-0.019278286580471038,0.11480067471581235
8656,2023,2024,0.7958,82938,80546,GOAU4,2025-02-24,2025-02-24,2025-05-29,-0.02127659580503849,0.10472229252979526,-0.12599888833483375
8672,2015,2016,0.5088,131026,74515,IGTI11,2017-03-10,2021-11-22,2022-02-21,-0.09095260890378176,0.09403355993402829,-0.18498616883781005
8672,2016,2017,0.5779,74515,33731,IGTI11,2018-03-14,2021-11-22,2022-02-21,-0.09095260890378176,0.09403355993402829,-0.18498616883781005
8672,2017,2018,1.0,33731,33731,IGTI11,2019-03-14,2021-11-22,2022-02-21,-0.09095260890378176,0.09403355993402829,-0.18498616883781005
8672,2018,2019,0.9991,33731,33334,IGTI11,2020-03-12,2021-11-22,2022-02-21,-0.09095260890378176,0.09403355993402829,-0.18498616883781005
8672,2019,2021,0.9996,33334,34510,IGTI11,2022-04-18,2022-04-18,2022-07-18,-0.09546539379474939,-0.1622574657103527,0.06679207191560332
8672,2021,2022,0.308,34510,121276,IGTI11,2023-02-28,2023-02-28,2023-05-31,0.12571132953957598,0.032431882268819656,0.09327944727075632
8672,2022,2023,0.9787,121276,111423,IGTI11,2024-02-20,2024-02-20,2024-05-21,-0.11631870472944184,-0.019278286580471038,-0.0970404181489708
8672,2023,2024,0.9976,111423,110796,IGTI11,2025-02-18,2025-02-18,2025-05-23,0.09523809523809534,0.07229795666765804,0.022940138570437307
9512,2015,2016,0.9433,49761,57798,PETR3,2017-03-24,2017-03-24,2017-06-27,-0.08327452364149612,-0.03411403899879362,-0.04916048464270251
9512,2016,2017,0.7298,57798,70571,PETR3,2018-03-16,2018-03-16,2018-06-18,-0.2635857937526743,-0.17755183157553478,-0.08603396217713954
9512,2017,2018,0.7759,70571,72113,PETR3,2019-02-27,2019-02-27,2019-05-31,-0.07955656993805027,-0.002846548733080656,-0.07671002120496961
9512,2018,2019,0.4729,72113,57682,PETR3,2020-02-19,2020-02-19,2020-05-25,-0.37549892539146457,-0.26480222730299974,-0.11069669808846483
9512,2019,2020,0.977,57682,58804,PETR3,2021-03-22,2021-03-22,2021-06-22,0.2725303292894281,0.11992282755282146,0.15260750173660664
9512,2020,2022,0.8138,58804,69825,PETR3,2023-03-02,2023-03-02,2023-06-02,0.08798283261802586,0.08935383976924971,-0.0013710071512238464
9512,2022,2023,0.7442,69825,100919,PETR3,2024-03-25,2024-03-25,2024-06-25,0.04233654876741699,-0.03624065804957588,0.07857720681699287
9512,2023,2024,0.9581,100919,100556,PETR3,2025-02-26,2025-02-26,2025-06-02,-0.20553549939831528,0.09632174605315691,-0.3018572454514722
10456,2015,2016,0.9559,8973,10752,ALPA4,2017-03-22,2017-03-22,2017-06-23,0.023443815683104274,-0.038320980004515004,0.06176479568761928
10456,2016,2017,0.8557,10752,9549,ALPA4,2018-02-09,2018-02-09,2018-05-15,-0.12838263058527377,0.052308875173519453,-0.18069150575879322
10456,2017,2018,0.9196,9549,20163,ALPA4,2019-02-15,2019-02-15,2019-05-21,0.1658031088082903,-0.031184328349256107,0.1969874371575464
10456,2018,2019,0.9526,20163,26095,ALPA4,2020-02-07,2020-02-07,2020-05-13,-0.3029249927599189,-0.31641034610966134,0.013485353349742435
10456,2019,2020,0.9391,26095,38376,ALPA4,2021-02-12,2021-02-12,2021-05-18,0.1896016554578377,0.02973522616670432,0.15986642929113337
10456,2020,2021,0.9621,38376,42132,ALPA4,2022-02-23,2022-02-23,2022-05-27,-0.10122578094108337,-0.0005886207196100779,-0.10063716022147329
10456,2021,2023,0.3523,42132,142815,ALPA4,2024-02-28,2024-02-28,2024-05-29,-0.06960784313725477,-0.057225042397385906,-0.01238280073986886
10456,2023,2024,0.9863,142815,141430,ALPA4,2025-03-11,2025-03-11,2025-06-11,0.3672230652503794,0.11028242448728753,0.25694064076309187
11312,2015,2016,0.9732,83293,83095,OIBR3,2017-03-22,2017-03-22,2017-06-23,-0.026506024329604916,-0.038320980004515004,0.011814955674910088
11312,2016,2017,0.924,83095,82790,OIBR3,2018-04-12,2018-04-12,2018-07-13,0.025974025850852733,-0.10356758434488833,0.12954161019574106
11312,2017,2018,0.9851,82790,89868,OIBR3,2019-03-26,2019-03-26,2019-06-26,-0.20441988950276246,0.056468256941108796,-0.26088814644387126
11312,2018,2019,0.6257,89868,96509,OIBR3,2020-03-25,2020-03-25,2020-06-26,1.2115384615384617,0.2518681400194809,0.9596703215189808
11312,2019,2020,0.8356,96509,95225,OIBR3,2021-05-10,2021-05-10,2021-08-09,-0.3371428571428571,0.009108020956281937,-0.346250878099139
11312,2020,2021,0.9448,95225,99442,OIBR3,2022-05-05,2022-05-05,2022-08-03,-0.3421052631578947,-0.014524683205862976,-0.3275805799520317
11312,2021,2022,0.9159,99442,74109,OIBR3,2023-05-22,2023-05-22,2023-08-18,-0.28828828828828823,0.047139578300659846,-0.3354278665889481
11312,2022,2023,0.8049,74109,75915,OIBR3,2024-03-27,2024-03-27,2024-06-27,-0.23235294117647054,-0.02649207905796047,-0.20586086211851007
11312,2023,2024,0.8817,75915,74641,OIBR3,2025-03-26,2025-03-26,2025-06-27,-0.4838709677419355,0.03279634873716453,-0.5166673164791
12653,2015,2016,0.9969,17400,17555,KLBN11,2017-02-09,2017-02-09,2017-05-16,0.043848167092922496,0.05725569611524017,-0.013407529022317677
12653,2016,2017,0.8068,17555,18073,KLBN11,2018-02-01,2018-02-01,2018-05-07,0.17391304361463678,-0.032526021331714006,0.20643906494635078
12653,2017,2018,0.9147,18073,17446,KLBN11,2019-02-07,2019-02-07,2019-05-13,-0.19489795946246458,-0.028378086509495914,-0.16651987295296866
12653,2018,2019,0.994,17446,17715,KLBN11,2020-02-06,2020-02-06,2020-05-12,0.024182076571617195,-0.3239695286049137,0.3481516051765309
12653,2019,2020,0.6908,17715,42447,KLBN11,2021-02-10,2021-02-10,2021-05-14,-0.042022792002783804,0.029091741459241982,-0.07111453346202579
12653,2020,2021,0.7908,42447,53053,KLBN11,2024-06-13,2024-06-13,2024-09-10,0.07579462126598946,0.1233783954556893,-0.047583774189699835
12653,2021,2022,0.9294,53053,64131,KLBN11,2023-02-08,2023-02-08,2023-05-15,0.08996359881583826,-0.008388881314841723,0.09835248013067999
12653,2022,2023,0.9118,64131,65709,KLBN11,2024-02-07,2024-02-07,2024-05-10,0.09694302926152365,-0.01808643177101321,0.11502946103253686
12653,2023,2024,0.7459,65709,78385,KLBN11,2025-02-26,2025-02-26,2025-06-02,-0.11067771808108728,0.09632174605315691,-0.2069994641342442
13986,2015,2016,0.7953,33573,45801,SUZB3,2017-02-08,2017-11-10,2018-02-19,0.07441634241245132,0.1749734361117008,-0.10055709369924948
13986,2016,2017,0.9649,45801,47601,SUZB3,2018-02-09,2018-02-09,2018-05-15,1.3087349397590362,0.052308875173519453,1.2564260645855168
13986,2017,2018,0.8082,47601,54520,SUZB3,2019-02-21,2019-02-21,2019-05-27,-0.27770780856423183,-0.02133469070723304,-0.2563731178569988
13986,2018,2019,0.8585,54520,71610,SUZB3,2020-02-12,2020-02-12,2020-05-18,0.02950000000000008,-0.30409328205660047,0.33359328205660055
13986,2019,2020,0.7074,71610,120165,SUZB3,2021-02-10,2021-02-10,2021-05-14,-0.04472140762463339,0.029091741459241982,-0.07381314908387537
13986,2020,2021,0.9949,120165,121898,SUZB3,2022-02-09,2022-02-09,2022-05-13,-0.1488448844884489,-0.049236542425805,-0.0996083420626439
13986,2021,2022,0.9084,121898,131336,SUZB3,2023-02-28,2023-02-28,2023-05-31,-0.062002513615416865,0.032431882268819656,-0.09443439588423652
13986,2022,2023,0.9565,131336,121369,SUZB3,2024-02-28,2024-02-28,2024-05-29,-0.14116416869989545,-0.057225042397385906,-0.08393912630250955
13986,2023,2024,0.8868,121369,116872,SUZB3,2025-02-12,2025-02-12,2025-05-19,-0.08245644298775234,0.12265777650640719,-0.20511421949415953
14176,2015,2016,0.9646,69893,68346,ELPL4,2017-02-24,2017-02-24,2017-05-31,-0.011173184357541777,-0.05926350955040427,0.04809032519286249
14311,2015,2016,0.9348,37988,40177,CPLE3,2017-03-28,2017-03-28,2017-06-29,-0.26044513861772745,-0.03715165968058698,-0.22329347893714047
14311,2016,2017,0.9672,40177,44784,CPLE3,2018-05-14,2018-05-14,2018-08-13,-0.16666666666666674,-0.09076077946606798,-0.07590588720059877
14311,2017,2018,0.918,44784,65697,CPLE3,2019-03-28,2019-03-28,2019-06-28,0.4879365079365081,0.06969312294427721,0.4182433849922309
14311,2018,2019,0.9468,65697,78700,CPLE3,2020-03-25,2020-03-25,2020-06-26,0.14635546202410543,0.2518681400194809,-0.10551267799537545
14311,2019,2020,0.9433,78700,93064,CPLE3,2021-05-05,2021-05-05,2021-08-04,0.06851851851851842,0.018707652542846454,0.04981086597567197
14311,2020,2021,0.9,93064,66086,CPLE3,2022-03-22,2022-03-22,2022-06-22,-0.08933717579250722,-0.15135798317149363,0.06202080737898641
14311,2021,2022,0.9543,66086,57673,CPLE3,2023-03-21,2023-03-21,2023-06-22,0.2908163265306123,0.17758813950317687,0.11322818702743542
14311,2022,2023,0.8115,57673,104279,CPLE3,2024-02-29,2024-02-29,2024-05-31,-0.11328976034858373,-0.053650045938607116,-0.05963971440997662
14311,2023,2024,0.849,104279,74335,CPLE3,2025-02-27,2025-02-27,2025-06-03,0.2669584245076586,0.10214267811206112,0.16481574639559748
14320,2015,2016,0.9506,25508,25663,USIM5,2017-02-17,2017-02-17,2017-05-24,-0.25688073394495414,-0.06629025444431025,-0.1905904795006439
14320,2016,2017,0.9383,25663,26477,USIM5,2018-02-09,2018-02-09,2018-05-15,-0.07569011576135354,0.052308875173519453,-0.127998990934873
14320,2017,2018,0.9631,26477,25406,USIM5,2019-02-15,2019-02-15,2019-05-21,-0.1031914893617022,-0.031184328349256107,-0.07200716101244609
