cd_cvm,name,group,year_prev,year_curr,cosine_similarity_cmn,diagnostic_prev,diagnostic_curr
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2015,2016,0.4185,regex_only,regex_only
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2016,2017,0.9925,regex_only,regex_only
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2017,2018,0.3939,regex_only,regex_only
013986,SUZANO,stayed,2015,2016,0.2463,font_heading,regex_only
013986,SUZANO,stayed,2016,2017,0.2292,regex_only,font_heading
013986,SUZANO,stayed,2017,2018,0.7854,font_heading,font_heading
013986,SUZANO,stayed,2018,2019,0.3468,font_heading,font_heading
013986,SUZANO,stayed,2019,2020,0.2048,font_heading,regex_only
013986,SUZANO,stayed,2020,2021,0.7827,regex_only,regex_only
013986,SUZANO,stayed,2021,2022,0.9242,regex_only,regex_only
013986,SUZANO,stayed,2022,2023,0.9608,regex_only,regex_only
013986,SUZANO,stayed,2023,2024,0.4122,regex_only,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2015,2016,0.8077,regex_only,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2016,2017,0.6577,regex_only,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2017,2018,0.3107,regex_only,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2018,2019,0.3213,font_heading,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2019,2020,0.8876,regex_only,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2020,2021,0.123,regex_only,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2021,2022,0.4439,font_heading,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2022,2023,0.9269,font_heading,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2023,2024,0.7272,font_heading,font_heading
014311,COPEL,stayed,2015,2016,0.3871,font_heading,regex_only
014311,COPEL,stayed,2016,2017,0.9095,regex_only,regex_only
014311,COPEL,stayed,2017,2018,0.3691,regex_only,font_heading
014311,COPEL,stayed,2018,2019,0.8676,font_heading,font_heading
014311,COPEL,stayed,2019,2020,0.9795,font_heading,font_heading
014311,COPEL,stayed,2020,2021,0.9699,font_heading,font_heading
014311,COPEL,stayed,2021,2023,0.9334,font_heading,font_heading
014311,COPEL,stayed,2023,2024,0.3871,font_heading,font_heading
014320,USIMINAS,stayed,2015,2016,0.8453,font_heading,font_heading
014320,USIMINAS,stayed,2016,2017,0.8319,font_heading,font_heading
014320,USIMINAS,stayed,2017,2018,0.8572,font_heading,font_heading
014320,USIMINAS,stayed,2018,2019,0.8628,font_heading,font_heading
014320,USIMINAS,stayed,2019,2020,0.8249,font_heading,font_heading
014320,USIMINAS,stayed,2020,2021,0.9927,font_heading,font_heading
014320,USIMINAS,stayed,2021,2022,0.9649,font_heading,font_heading
014320,USIMINAS,stayed,2022,2023,0.9894,font_heading,font_heading
014320,USIMINAS,stayed,2023,2024,0.8669,font_heading,font_heading
014443,SABESP,stayed,2015,2016,0.3988,regex_only,regex_only
014443,SABESP,stayed,2016,2017,0.333,regex_only,regex_only
014443,SABESP,stayed,2017,2018,0.076,regex_only,regex_only
014443,SABESP,stayed,2018,2019,0.1101,regex_only,regex_only
014443,SABESP,stayed,2019,2020,0.5387,regex_only,regex_only
014443,SABESP,stayed,2020,2021,0.307,regex_only,regex_only
014443,SABESP,stayed,2021,2022,0.218,regex_only,regex_only
014443,SABESP,stayed,2022,2023,0.2463,regex_only,font_heading
014443,SABESP,stayed,2023,2024,0.114,font_heading,font_heading
014460,CYRELA REALT,stayed,2015,2016,0.6049,font_heading,font_heading
014460,CYRELA REALT,stayed,2016,2017,0.7564,font_heading,font_heading
014460,CYRELA REALT,stayed,2017,2018,0.8246,font_heading,font_heading
014460,CYRELA REALT,stayed,2018,2019,0.9653,font_heading,font_heading
014460,CYRELA REALT,stayed,2019,2020,0.2829,font_heading,regex_only
014460,CYRELA REALT,stayed,2020,2021,0.9333,regex_only,regex_only
014460,CYRELA REALT,stayed,2021,2022,0.9825,regex_only,regex_only
014460,CYRELA REALT,stayed,2022,2023,0.0791,regex_only,font_heading
014460,CYRELA REALT,stayed,2023,2024,0.0828,font_heading,regex_only
014761,Cia Hering,dropped_or_delisted,2015,2017,0.3615,font_heading,regex_only
014761,Cia Hering,dropped_or_delisted,2017,2018,0.955,regex_only,regex_only
014761,Cia Hering,dropped_or_delisted,2018,2020,0.9207,regex_only,regex_only
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2015,2016,0.8988,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2016,2017,0.9305,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2017,2018,0.949,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2018,2019,0.3081,font_heading,regex_only
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2019,2020,0.4467,regex_only,regex_only
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2020,2021,0.1743,regex_only,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2021,2022,0.9738,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2022,2024,0.3085,font_heading,regex_only
015253,ENERGISA,stayed,2015,2016,0.9751,font_heading,font_heading
015253,ENERGISA,stayed,2016,2017,0.9216,font_heading,font_heading
015253,ENERGISA,stayed,2017,2018,0.9167,font_heading,font_heading
015253,ENERGISA,stayed,2018,2019,0.5256,font_heading,font_heading
015253,ENERGISA,stayed,2019,2020,0.8284,font_heading,font_heading
015253,ENERGISA,stayed,2020,2021,0.989,font_heading,font_heading
015253,ENERGISA,stayed,2021,2022,0.9582,font_heading,font_heading
015253,ENERGISA,stayed,2022,2023,0.9554,font_heading,font_heading
015253,ENERGISA,stayed,2023,2024,0.9811,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2015,2016,0.9161,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2016,2017,0.948,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2017,2018,0.95,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2018,2019,0.9602,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2019,2020,0.9488,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2020,2021,0.9674,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2021,2022,0.9415,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2022,2023,0.9322,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2023,2024,0.1153,font_heading,regex_only
016292,BRF S.A.,dropped_or_delisted,2015,2016,0.1131,font_heading,regex_only
016292,BRF S.A.,dropped_or_delisted,2016,2017,0.9005,regex_only,regex_only
016292,BRF S.A.,dropped_or_delisted,2017,2018,0.154,regex_only,font_heading
016292,BRF S.A.,dropped_or_delisted,2018,2019,0.3118,font_heading,font_heading
016292,BRF S.A.,dropped_or_delisted,2019,2020,0.2919,font_heading,regex_only
016292,BRF S.A.,dropped_or_delisted,2020,2021,0.9206,regex_only,regex_only
016292,BRF S.A.,dropped_or_delisted,2021,2022,0.8579,regex_only,regex_only
016292,BRF S.A.,dropped_or_delisted,2022,2023,0.1541,regex_only,font_heading
016292,BRF S.A.,dropped_or_delisted,2023,2024,0.9491,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2015,2016,0.4465,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2016,2017,0.2991,font_heading,regex_only
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2017,2018,0.914,regex_only,regex_only
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2018,2020,0.9265,regex_only,regex_only
