cd_cvm,year_prev,year_curr,cosine_similarity,ticker,window_start,window_end,stock_return,ar_market_adjusted,alpha_i,beta_mkt,beta_smb,beta_hml,beta_mom,n_est_obs,n_event_days,alpha_ar_sum,alpha_ar_compound
5410,2018,2019,0.895,WEGE3,2020-02-19,2021-03-01,0.5977058582548136,0.6507688289991476,0.002583893919569855,1.0600772386493609,0.2763268776449368,-0.4026933071077633,0.00786694535568248,252,253,0.08020355535694773,-0.01918317557209326
5410,2019,2020,0.9877,WEGE3,2021-02-24,2022-02-25,-0.3217993079584775,-0.2999622847182978,0.0020471482097801363,0.826815478989292,0.09661668647407395,-0.5974153317983959,0.6135677462072626,252,253,-0.8156594379620161,-0.5769692348375959
5410,2020,2021,0.9927,WEGE3,2022-02-16,2023-02-17,0.2658146964856229,0.3179416324068842,-0.0007161280734148162,0.872611129326881,0.26173669926039933,-0.7000175604533558,0.36979746869999486,252,253,0.4273336199297205,0.4688487414733786
5410,2021,2022,0.9984,WEGE3,2023-02-15,2024-02-23,-0.0745884773662552,-0.25541479747862,0.0016101090572373286,0.857341312159333,-0.2875326933679947,-0.4975221892437697,-0.00020897551483023413,252,253,-0.4381229891668047,-0.3728824038310824
5410,2022,2023,0.9615,WEGE3,2024-02-21,2025-02-20,0.4223314223314223,0.4410268807731331,-0.00035991338865770856,0.7267718486707175,0.22835764303996198,-0.623361211633369,0.15372723634516444,252,253,0.5283421315213782,0.640153900100634
5410,2023,2024,0.9665,WEGE3,2025-02-26,2026-03-04,-0.0106583072100313,-0.4963388115608417,0.001395337051202779,0.9074028595851154,-0.07212513101899226,-0.2628417303772968,0.3362053034796061,252,253,-0.6772658188716262,-0.5215271920820864
6505,2015,2016,0.9835,BHIA3,2017-02-23,2018-03-08,0.893939393939394,0.6341875566291932,0.0036192168423166086,0.8360045079782954,-0.24574995627872614,0.6996340592649251,0.24959172903317728,252,253,-0.3802480446217362,-0.398855598985535
6505,2016,2017,0.8923,BHIA3,2018-02-19,2019-02-26,-0.3837209302325581,-0.5347927617614714,0.0027021694449192663,0.8754152872573424,0.7246144947530023,-0.040583466706446705,-0.3318108603889879,252,253,-1.032997250127512,-0.6990401117813092
6505,2017,2018,0.8092,BHIA3,2019-02-20,2020-02-27,1.7024952015355086,1.6358039935876136,-0.0016563521103596195,1.3108299441092,-0.03319572166923085,-0.0748783639472727,-0.25271385120103296,252,253,1.485193232805788,2.963789246741379
6505,2018,2019,0.9606,BHIA3,2020-03-26,2021-04-05,1.1964912280701756,0.6842154054761764,0.002716298964453764,1.4790955478891488,0.7763699423402095,0.5891770212663942,0.9588444269709742,252,253,-0.7471531122058659,-0.5879437114214066
6505,2019,2020,0.6757,BHIA3,2021-03-02,2022-03-07,-0.7171381031613977,-0.7176191870435635,0.00018997190056354576,1.4527737273587864,0.9472728719165006,0.1881716520006489,0.9673125006275396,252,253,-1.4268631479808631,-0.7915237671520673
6505,2020,2021,0.9626,BHIA3,2022-03-09,2023-03-10,-0.4662756598240469,-0.3760025315787757,-0.00330493898359481,1.5302551051779654,0.40889199126582265,-1.0329714051769505,-0.701295108492857,252,253,0.9438660810179746,1.262915631887759
6505,2021,2022,0.99,BHIA3,2023-03-09,2024-03-14,-0.8348453608247423,-1.050116359468614,0.001158362768724389,0.9644315405680343,0.3179269635087651,-0.7038163599157484,-1.7651008228627365,252,253,-1.5470308205553112,-0.8253485652090224
6505,2022,2023,0.6684,BHIA3,2024-03-25,2025-03-27,0.4696969696969697,0.4207155783997602,-0.009103288313435253,1.2002608473851866,0.5944653259500264,1.155714428137749,-1.453376229552275,252,253,2.9931197509414162,13.227724825960454
6505,2023,2024,0.7326,BHIA3,2025-03-12,2026-03-16,-0.4652014652014652,-0.9174084511174132,0.00015098012588283442,1.2009958626997794,0.7416329048108765,1.5483099474862263,-1.1721309899879362,252,253,-0.8322755094977681,-0.6930989786660956
8133,2015,2016,0.9795,LREN3,2017-02-09,2018-02-21,0.6130252097645599,0.2884355737319273,0.0001446019279659678,1.082192627776178,0.2116434359386708,-0.3863940738357506,0.13633627029689666,252,253,0.13514929504621587,0.122630508902283
8133,2016,2017,0.9998,LREN3,2018-02-08,2019-02-19,0.2823461757272889,0.0845524852825057,0.0006382253266877839,1.3329385288969169,0.1832092156847268,-0.9806188757471511,0.09027307163770465,252,253,0.13565929986996642,0.1096092586448223
8133,2017,2018,0.9607,LREN3,2019-02-07,2020-02-12,0.4374855824836507,0.2016043174017843,0.000682958931637328,1.186631338549852,-0.13885100970990968,-0.7104175536885802,-0.1315754269663213,252,253,0.08336959192467855,0.06483368786102228
8133,2018,2019,0.9908,LREN3,2020-02-06,2021-02-12,-0.2774357117906425,-0.314233350474556,4.271107165079884e-05,1.2101884570896524,0.15310031588156323,-0.5142198935761753,0.5129998288968916,252,253,-0.44197005771615605,-0.4088731898367489
8133,2019,2020,0.9887,LREN3,2021-02-11,2022-02-16,-0.2317593297921631,-0.1972338824382147,-0.0008348880039411696,1.2532486571759542,0.43731915074309824,-0.534924226210585,-0.08177598123919047,252,253,0.09694543239491496,0.05956476497529328
8133,2020,2021,0.7811,LREN3,2022-03-17,2023-03-20,-0.2375545853504318,-0.130074620268438,-0.0006425935423952141,1.070275840673246,0.42034384757607224,-0.4968414432660291,-0.7299446705657221,252,253,0.36109485142179043,0.37329119910129016
8133,2021,2022,0.9505,LREN3,2023-02-16,2024-02-26,-0.2115583076665058,-0.390449783184477,0.00035471445373110077,1.1056629369518194,0.29364158853992284,-0.44422219963759557,-0.48197787652142,252,253,-0.23887131835339065,-0.25649511458635244
8133,2022,2023,0.9908,LREN3,2024-03-14,2025-03-18,-0.1778316172514941,-0.2074718466289463,-0.0007089259794690677,1.6122903174288508,0.6995130733884753,-0.30805586559244624,-0.4653632438439735,252,253,0.14240263107630952,0.0886714439750691
8451,2015,2016,0.4973,POMO4,2017-02-23,2018-03-07,0.3693379788830662,0.102190207394812,-0.0007790678345176256,0.9748210631777817,0.5819815190892081,-0.12909569551990235,-0.034139421064141515,252,253,0.27230394476502345,0.2516010336362342
8451,2016,2017,0.9927,POMO4,2018-02-22,2019-03-01,0.0560239133727933,-0.0353086997403286,9.554184071652188e-05,0.8835917374240135,0.6441866830284266,-0.008619249155833987,-0.02330681155742445,252,253,0.02240319559391543,-0.03451536530819699
8451,2017,2018,1.0,POMO4,2019-02-26,2020-03-04,0.3476070526965591,0.2490265860076936,0.00026330580043290727,1.1164257530819899,0.5525197265697465,-0.43618702256064656,0.033604336310226274,252,253,0.04811075332729442,0.0050940227555582585
8451,2018,2019,0.7384,POMO4,2020-02-27,2021-03-05,-0.4707070706666666,-0.5893545238994661,0.0006482894799887473,1.0507770578739681,0.2974308379898439,-0.14787929313647377,-0.1807950698826671,252,253,-0.6584993110911566,-0.5312574599297782
8451,2019,2021,0.9118,POMO4,2022-02-25,2023-03-02,0.1413793105221878,0.228140506237941,0.0003038531580579582,0.8360946481078083,0.4615960283846774,0.31595070462172115,-0.22044099733852893,252,253,0.23937810945868426,0.20469846262431624
