cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct,company_name,__ctrl_year__,total_assets,net_revenue,net_income,total_equity,total_liabilities,ln_total_assets,ln_net_revenue,leverage,roa,roe,past_12m_return
4170,2016,2017,0.9392,237390,227057,stayed,True,True,True,2018-02-27,4170.0,VALE3,2017-12-31,0.896,2018-03-31,1.25,0.354,0.3950892857142857,VALE S.A.,2017.0,328096703.0,108532022.0,17669992.0,148105642.0,179991061.0,19.60881894911522,18.502555821041977,0.5485914955993935,0.0538560486540457,0.119306677054207,0.4508108108108106
4170,2017,2018,0.8964,227057,248583,stayed,True,True,True,2019-04-18,4170.0,VALE3,2019-03-31,1.566,2019-06-30,2.065,0.4989999999999999,0.3186462324393358,VALE S.A.,2018.0,341714838.0,134483126.0,25773768.0,173682178.0,168032660.0,19.649487140198914,18.71694929188668,0.4917335781596935,0.0754247844514144,0.1483961584129835,0.3477801268498941
4170,2020,2021,0.9428,274603,306915,stayed,True,True,True,2022-02-24,4170.0,VALE3,2021-12-31,3.927272727,2022-03-31,4.048888889,0.12161616199999958,0.030967078289187423,VALE S.A.,2021.0,499128000.0,293524000.0,121343000.0,197058000.0,302070000.0,20.028373133848003,19.497469965609916,0.6051954608837813,0.2431099838117677,0.6157730211409839,-0.0958014381813965
4170,2021,2022,0.9321,306915,323774,stayed,True,True,True,2023-02-16,4170.0,VALE3,2022-12-31,3.235555556,2023-03-31,2.999,-0.2365555559999999,-0.07311126386358359,VALE S.A.,2022.0,453387000.0,226508000.0,96337000.0,194894000.0,258493000.0,19.932256623372567,19.238290822351924,0.5701376528219821,0.2124829340056067,0.4943045963446796,0.1049229239184486
4170,2022,2023,0.939,323774,344928,stayed,True,True,True,2024-02-22,4170.0,VALE3,2023-12-31,4.771111111,2024-03-31,2.133333333,-2.637777778,-0.5528644620995078,VALE S.A.,2023.0,455984000.0,208066000.0,40554000.0,198325000.0,257659000.0,19.93796827914377,19.15336589502646,0.5650614933857329,0.0889373311344257,0.2044825412832472,-0.0989729225023343
4170,2023,2024,0.9444,344928,322916,stayed,True,True,True,2025-03-17,4170.0,VALE3,2024-12-31,2.713333333,2025-03-31,2.265,-0.4483333329999999,-0.165233415130864,VALE S.A.,2024.0,496325000.0,206005000.0,30431000.0,213720000.0,282605000.0,20.022741512047418,19.14341099830396,0.5693950536442856,0.0613126479625245,0.1423872356354108,-0.2649238647082603
4820,2016,2017,0.9885,296557,279551,stayed,True,True,True,2018-03-29,4820.0,BRKM5,,,,,,,BRASKEM S.A.,2017.0,53341550.0,49260594.0,4133321.0,5690350.0,47651200.0,17.792226135163585,17.71263500904925,0.8933223725219833,0.0774878307810702,0.7263737731422496,0.2816143497757846
4820,2021,2022,0.9889,343707,308708,stayed,True,True,True,2023-03-23,4820.0,BRKM5,2022-12-31,-1.13,2023-03-31,-0.73,0.3999999999999999,0.3539823008849557,BRASKEM S.A.,2022.0,88048858.0,96519284.0,-820391.0,6108217.0,81940641.0,18.29340242291892,18.38525338054191,0.9306269594092862,-0.0093174519083484,-0.1343094064929258,-0.5715058611361588
5258,2019,2020,0.9354,166326,182671,stayed,True,True,True,2021-03-09,5258.0,RADL3,2020-12-31,0.11666666,2021-03-31,0.104999994,-0.011666666000000006,-0.10000000000000005,RAIA DROGASIL S.A.,2020.0,13828088.0,20066840.0,495533.0,4425621.0,9402467.0,16.442212443902736,16.814579259447388,0.6799542351769818,0.0358352506868628,0.1119691451211027,0.181020658821833
5258,2020,2021,0.5221,182671,251661,stayed,True,True,True,2022-02-22,5258.0,RADL3,2021-12-31,0.109999994,2022-06-30,0.159999991,0.049999997000000004,0.4545454520661156,RAIA DROGASIL S.A.,2021.0,14775506.0,24127002.0,764133.0,4718802.0,10056704.0,16.508481367708935,16.998842186202264,0.6806334754288618,0.0517161984164874,0.1619336857109071,-0.0451866404240167
