cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cosine_similarity_expanding
5410,WEG,2017,2018,0.9817,2524,2615,font_heading,font_heading,0.981
5410,WEG,2018,2019,0.975,2615,2633,font_heading,font_heading,0.9736
5410,WEG,2019,2020,0.9671,2633,2695,font_heading,font_heading,0.9658
5410,WEG,2020,2021,0.8801,2695,2214,font_heading,font_heading,0.8793
5410,WEG,2021,2022,0.88,2214,2482,font_heading,font_heading,0.8868
5410,WEG,2022,2023,0.9713,2482,2322,font_heading,font_heading,0.9715
5410,WEG,2023,2024,0.8964,2322,2484,font_heading,font_heading,0.8963
6173,Taurus Armas SA,2010,2011,0.854,9272,9287,font_heading,font_heading,0.8555
6173,Taurus Armas SA,2011,2012,0.8487,9287,10132,font_heading,font_heading,0.8571
6173,Taurus Armas SA,2012,2013,0.8253,10132,6882,font_heading,font_heading,0.8351
6173,Taurus Armas SA,2013,2014,0.7492,6882,6882,font_heading,font_heading,0.7641
6173,Taurus Armas SA,2014,2015,0.9709,6882,6499,font_heading,font_heading,0.9728
6173,Taurus Armas SA,2015,2016,0.7523,6499,7079,font_heading,font_heading,0.7586
6173,Taurus Armas SA,2016,2017,0.8088,7079,8199,font_heading,font_heading,0.8159
6173,Taurus Armas SA,2017,2018,0.5372,8199,1527,font_heading,font_heading,0.5435
6173,Taurus Armas SA,2018,2019,0.7051,1527,4965,font_heading,font_heading,0.7065
6173,Taurus Armas SA,2019,2020,0.9136,4965,5527,font_heading,font_heading,0.9137
6173,Taurus Armas SA,2020,2021,0.8406,5527,3704,font_heading,font_heading,0.8417
6173,Taurus Armas SA,2021,2022,0.9135,3704,4191,font_heading,font_heading,0.9181
6173,Taurus Armas SA,2022,2023,0.7666,4191,6620,font_heading,font_heading,0.78
6173,Taurus Armas SA,2023,2024,0.8733,6620,6453,font_heading,font_heading,0.8737
6173,Taurus Armas SA,2024,2025,0.751,6453,7103,font_heading,font_heading,0.751
6343,Tupy SA,2011,2012,0.9024,4360,5370,font_heading,font_heading,0.9051
6343,Tupy SA,2012,2013,0.7407,5370,7077,font_heading,font_heading,0.7375
6343,Tupy SA,2013,2014,0.8022,7077,8221,font_heading,font_heading,0.7972
6343,Tupy SA,2014,2015,0.8949,8221,6869,font_heading,font_heading,0.8964
6343,Tupy SA,2015,2016,0.9167,6869,5770,font_heading,font_heading,0.9171
6343,Tupy SA,2016,2017,0.9576,5770,5188,font_heading,font_heading,0.9583
6343,Tupy SA,2017,2018,0.9299,5188,4027,font_heading,font_heading,0.9309
6343,Tupy SA,2018,2019,0.7791,4027,3445,font_heading,font_heading,0.7816
6343,Tupy SA,2019,2020,0.8835,3445,3921,font_heading,font_heading,0.8818
6343,Tupy SA,2020,2021,0.8719,3921,6291,font_heading,font_heading,0.8716
6343,Tupy SA,2021,2022,0.8323,6291,6757,font_heading,font_heading,0.8306
6343,Tupy SA,2022,2023,0.2249,6757,1530,font_heading,regex_only,0.2234
6343,Tupy SA,2023,2024,0.029,1530,283,regex_only,font_heading,0.029
6343,Tupy SA,2024,2025,1.0,283,283,font_heading,font_heading,1.0
6505,Grupo Casas Bahia S.A. (Via Varejo),2010,2011,0.4892,4952,1980,font_heading,font_heading,0.4994
6505,Grupo Casas Bahia S.A. (Via Varejo),2011,2012,0.146,1980,55167,font_heading,font_heading,0.1451
6505,Grupo Casas Bahia S.A. (Via Varejo),2012,2013,0.3626,55167,2154,font_heading,font_heading,0.3582
6505,Grupo Casas Bahia S.A. (Via Varejo),2013,2014,0.123,2154,109,font_heading,font_heading,0.1438
6505,Grupo Casas Bahia S.A. (Via Varejo),2014,2015,0.1587,109,3122,font_heading,font_heading,0.1672
6505,Grupo Casas Bahia S.A. (Via Varejo),2015,2016,0.7643,3122,3231,font_heading,font_heading,0.835
6505,Grupo Casas Bahia S.A. (Via Varejo),2016,2017,0.9037,3231,3485,font_heading,font_heading,0.9013
6505,Grupo Casas Bahia S.A. (Via Varejo),2017,2018,0.8134,3485,3880,font_heading,font_heading,0.8142
6505,Grupo Casas Bahia S.A. (Via Varejo),2018,2019,0.7808,3880,6079,font_heading,font_heading,0.779
6505,Grupo Casas Bahia S.A. (Via Varejo),2019,2020,0.8362,6079,5962,font_heading,font_heading,0.8365
6505,Grupo Casas Bahia S.A. (Via Varejo),2020,2021,0.2564,5962,533,font_heading,font_heading,0.2628
6505,Grupo Casas Bahia S.A. (Via Varejo),2021,2022,1.0,533,533,font_heading,font_heading,1.0
6505,Grupo Casas Bahia S.A. (Via Varejo),2022,2023,0.3111,533,10433,font_heading,font_heading,0.3133
6505,Grupo Casas Bahia S.A. (Via Varejo),2023,2024,0.5442,10433,9969,font_heading,font_heading,0.5357
7870,Kepler Weber SA,2010,2011,0.6111,1069,2462,regex_only,regex_only,0.6481
7870,Kepler Weber SA,2011,2012,0.9016,2462,2772,regex_only,regex_only,0.911
7870,Kepler Weber SA,2012,2013,0.08,2772,6326,regex_only,font_heading,0.0888
7870,Kepler Weber SA,2013,2014,0.5791,6326,7122,font_heading,font_heading,0.5803
7870,Kepler Weber SA,2014,2015,0.3573,7122,1119,font_heading,font_heading,0.3586
7870,Kepler Weber SA,2015,2016,0.9943,1119,1119,font_heading,font_heading,0.9942
7870,Kepler Weber SA,2016,2017,0.3437,1119,4606,font_heading,font_heading,0.3417
7870,Kepler Weber SA,2017,2018,0.9997,4606,4631,font_heading,font_heading,0.9997
7870,Kepler Weber SA,2018,2019,0.1229,4631,1546,font_heading,font_heading,0.1234
7870,Kepler Weber SA,2019,2020,0.945,1546,1629,font_heading,font_heading,0.9438
7870,Kepler Weber SA,2020,2021,0.6794,1629,1753,font_heading,font_heading,0.684
7870,Kepler Weber SA,2021,2022,0.3261,1753,986,font_heading,font_heading,0.3181
7870,Kepler Weber SA,2022,2023,0.0148,986,1886,font_heading,regex_only,0.0164
7870,Kepler Weber SA,2023,2024,0.7234,1886,1785,regex_only,regex_only,0.7527
7870,Kepler Weber SA,2024,2025,0.7052,1785,3661,regex_only,regex_only,0.7052
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2010,2011,0.1252,7877,27085,regex_only,font_heading,0.1308
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2011,2012,0.5287,27085,12023,font_heading,font_heading,0.5918
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2012,2013,0.949,12023,12797,font_heading,font_heading,0.9521
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2013,2014,0.9852,12797,13668,font_heading,font_heading,0.9861
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2014,2015,0.9441,13668,13238,font_heading,font_heading,0.9491
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2015,2016,0.9814,13238,13513,font_heading,font_heading,0.9816
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2016,2017,0.0789,13513,7885,font_heading,regex_only,0.0796
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2017,2018,0.0506,7885,14308,regex_only,font_heading,0.0511
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2018,2019,0.9786,14308,10978,font_heading,font_heading,0.9797
8087,Lojas Americanas S.A. (pre-2021 restructuring entity),2019,2020,0.9174,10978,14513,font_heading,font_heading,0.9273
8133,LOJAS RENNER,2010,2011,0.0532,5050,747,font_heading,font_heading,0.0743
8133,LOJAS RENNER,2011,2012,0.5463,747,1859,font_heading,font_heading,0.5555
8133,LOJAS RENNER,2012,2013,0.5914,1859,933,font_heading,font_heading,0.5987
8133,LOJAS RENNER,2013,2014,0.985,933,963,font_heading,font_heading,0.9867
8133,LOJAS RENNER,2014,2015,0.0982,963,9858,font_heading,font_heading,0.0918
8133,LOJAS RENNER,2015,2016,0.1103,9858,1385,font_heading,font_heading,0.11
8133,LOJAS RENNER,2016,2017,0.1137,1385,6401,font_heading,font_heading,0.1127
8133,LOJAS RENNER,2017,2018,0.6662,6401,4064,font_heading,font_heading,0.6665
8133,LOJAS RENNER,2018,2019,0.045,4064,647,font_heading,regex_only,0.0479
8133,LOJAS RENNER,2019,2020,0.0468,647,8055,regex_only,font_heading,0.051
8133,LOJAS RENNER,2020,2021,0.1447,8055,20734,font_heading,font_heading,0.1452
8133,LOJAS RENNER,2021,2022,0.1224,20734,2231,font_heading,font_heading,0.1236
8133,LOJAS RENNER,2022,2023,0.0603,2231,3472,font_heading,font_heading,0.057
8133,LOJAS RENNER,2023,2024,0.0283,3472,4613,font_heading,font_heading,0.0285
8451,MARCOPOLO,2010,2011,0.9593,2548,2121,font_heading,font_heading,0.9681
8451,MARCOPOLO,2011,2012,0.9397,2121,2565,font_heading,font_heading,0.9396
8451,MARCOPOLO,2012,2013,0.8258,2565,2816,font_heading,font_heading,0.8401
