n_months,avg_n_active,mean_monthly_ls_return,annualized_ls_return,t_stat_newey_west,p_value,mean_high_sim_return,mean_low_sim_return,scenario,holding_months,n_groups,n_size_buckets_used,months_skipped_thin_cross_section
109,55.63302752293578,0.0033843184567285,0.0413763529110084,0.7178915903785574,0.4728241335473589,0.0102888301979657,0.0069045117412372,mgmt_report_annual,12,3,,
109,55.63302752293578,0.0023753397245408,0.0288794287655351,0.4109097165166036,0.6811387374010824,0.0094789968792307,0.0071036571546899,mgmt_report_annual,12,4,,
36,42.05555555555556,0.0013120490457288593,0.015858704121295197,0.20393123130918556,0.8384072388362506,,,mgmt_report_annual_CHAR_ADJUSTED,3,2,,7.0
36,42.05555555555556,0.0036926975591083464,0.045223518113229,0.5064442746713316,0.6125448000050306,,,mgmt_report_annual_CHAR_ADJUSTED,3,3,,1.0
36,42.05555555555556,0.0057996480693214315,0.07185922949138512,0.610251821369057,0.5416950065109087,,,mgmt_report_annual_CHAR_ADJUSTED,3,4,,0.0
63,46.6031746031746,0.0009329811661536748,0.011253402989734207,0.21155925042665905,0.8324509031220181,,,mgmt_report_annual_CHAR_ADJUSTED,6,2,,14.0
63,46.6031746031746,0.002252028948268998,0.027361600749528536,0.435708950787958,0.6630479107529894,,,mgmt_report_annual_CHAR_ADJUSTED,6,3,,7.0
63,46.6031746031746,0.004772546780564427,0.05879803068667222,0.7914955755384129,0.42865485700915507,,,mgmt_report_annual_CHAR_ADJUSTED,6,4,,0.0
109,51.56880733944954,0.0021684755932910933,0.02633431229959382,0.7571427605559081,0.44896433829779536,,,mgmt_report_annual_CHAR_ADJUSTED,12,2,,0.0
109,51.56880733944954,0.0038806645250347347,0.047574875073713274,1.0896177172513215,0.2758815752861553,,,mgmt_report_annual_CHAR_ADJUSTED,12,3,,0.0
109,51.56880733944954,0.0041538077662456605,0.05100038085871472,0.8885476079647265,0.3742462589377198,,,mgmt_report_annual_CHAR_ADJUSTED,12,4,,0.0
