cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cd_cvm_int
008451,MARCOPOLO,2010,2011,0.9593,2548,2121,font_heading,font_heading,8451
008451,MARCOPOLO,2011,2012,0.9397,2121,2565,font_heading,font_heading,8451
008451,MARCOPOLO,2012,2013,0.8258,2565,2816,font_heading,font_heading,8451
008451,MARCOPOLO,2013,2014,0.9307,2816,3158,font_heading,font_heading,8451
008451,MARCOPOLO,2014,2015,0.9321,3158,3386,font_heading,font_heading,8451
008575,Mahle Metal Leve SA,2010,2011,0.8339,4674,4073,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2011,2012,0.9479,4073,4020,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2012,2013,0.9498,4020,4510,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2013,2014,0.862,4510,5874,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2014,2015,0.9023,5874,4020,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2015,2016,0.8895,4020,4807,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2016,2017,0.024,4807,436,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2019,2020,0.9267,7246,6315,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2020,2021,0.9238,6315,4427,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2021,2022,0.9267,4427,5146,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2022,2023,0.7125,5146,10591,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2023,2024,0.8387,10591,7633,font_heading,font_heading,8575
008575,Mahle Metal Leve SA,2024,2025,0.8174,7633,11890,font_heading,font_heading,8575
008656,GERDAU MET,2010,2011,0.4666,4588,14402,font_heading,font_heading,8656
008656,GERDAU MET,2011,2012,0.9813,14402,12649,font_heading,font_heading,8656
008656,GERDAU MET,2012,2013,0.8345,12649,10614,font_heading,font_heading,8656
008656,GERDAU MET,2013,2014,0.9117,10614,11408,font_heading,font_heading,8656
008656,GERDAU MET,2014,2015,0.7683,11408,8286,font_heading,font_heading,8656
008672,IGUATEMI S.A,2010,2011,0.8929,15523,22667,font_heading,font_heading,8672
008672,IGUATEMI S.A,2011,2012,0.2872,22667,51609,font_heading,font_heading,8672
008672,IGUATEMI S.A,2012,2013,0.0557,51609,455,font_heading,font_heading,8672
008672,IGUATEMI S.A,2013,2014,1.0,455,455,font_heading,font_heading,8672
008672,IGUATEMI S.A,2014,2015,1.0,455,455,font_heading,font_heading,8672
009393,Paranapanema SA,2010,2011,0.2707,2162,14570,font_heading,font_heading,9393
009393,Paranapanema SA,2011,2012,0.0494,14570,5996,font_heading,font_heading,9393
009393,Paranapanema SA,2012,2013,0.6927,5996,5188,font_heading,font_heading,9393
009393,Paranapanema SA,2015,2016,0.7715,5397,3907,font_heading,font_heading,9393
009393,Paranapanema SA,2016,2017,0.3913,3907,9465,font_heading,font_heading,9393
009393,Paranapanema SA,2017,2018,0.9369,9465,9858,font_heading,font_heading,9393
009393,Paranapanema SA,2018,2019,0.9179,9858,8355,font_heading,font_heading,9393
009393,Paranapanema SA,2019,2020,0.9173,8355,9186,font_heading,font_heading,9393
009393,Paranapanema SA,2020,2021,0.8168,9186,13056,font_heading,font_heading,9393
009393,Paranapanema SA,2021,2022,0.9281,13056,13811,font_heading,font_heading,9393
009393,Paranapanema SA,2022,2023,0.947,13811,13812,font_heading,font_heading,9393
009393,Paranapanema SA,2023,2024,0.906,13812,13539,font_heading,font_heading,9393
009393,Paranapanema SA,2024,2025,0.8613,13539,18839,font_heading,font_heading,9393
009512,PETROBRAS,2010,2011,0.3548,1767,243,font_heading,font_heading,9512
009512,PETROBRAS,2011,2012,0.955,243,230,font_heading,font_heading,9512
009989,Refinaria de Petroleos de Manguinhos S/A,2013,2014,1.0,26397,26397,font_heading,font_heading,9989
009989,Refinaria de Petroleos de Manguinhos S/A,2014,2015,0.1374,26397,1404,font_heading,font_heading,9989
009989,Refinaria de Petroleos de Manguinhos S/A,2015,2016,0.6164,1404,5261,font_heading,font_heading,9989
009989,Refinaria de Petroleos de Manguinhos S/A,2016,2017,0.5588,5261,1042,font_heading,font_heading,9989
009989,Refinaria de Petroleos de Manguinhos S/A,2017,2019,0.0049,1042,439,font_heading,font_heading,9989
010456,Alpargatas S.A.,2011,2012,0.8403,4936,4099,font_heading,font_heading,10456
010456,Alpargatas S.A.,2012,2013,0.8614,4099,4880,font_heading,font_heading,10456
010456,Alpargatas S.A.,2013,2014,0.9371,4880,4455,font_heading,font_heading,10456
010456,Alpargatas S.A.,2014,2015,0.8165,4455,3926,font_heading,font_heading,10456
011312,Oi S.A. - Em Recuperação Judicial,2010,2011,1.0,454,454,font_heading,font_heading,11312
011312,Oi S.A. - Em Recuperação Judicial,2011,2012,1.0,454,454,font_heading,font_heading,11312
011312,Oi S.A. - Em Recuperação Judicial,2012,2013,1.0,454,454,font_heading,font_heading,11312
011312,Oi S.A. - Em Recuperação Judicial,2013,2014,1.0,454,454,font_heading,font_heading,11312
011312,Oi S.A. - Em Recuperação Judicial,2014,2015,1.0,454,454,font_heading,font_heading,11312
011320,Telemar Norte Leste SA,2010,2011,0.878,30815,28307,font_heading,font_heading,11320
011932,Iochpe Maxion SA,2010,2011,0.9583,4727,4653,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2011,2012,0.8068,4653,7436,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2012,2013,0.603,7436,11661,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2013,2014,0.7969,11661,15414,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2014,2015,0.7109,15414,18403,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2015,2016,0.8844,18403,18754,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2016,2017,0.899,18754,17561,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2017,2018,0.9013,17561,15157,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2018,2019,0.8544,15157,13504,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2019,2020,0.7779,13504,17186,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2020,2021,0.8047,17186,17024,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2021,2022,0.8548,17024,21975,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2022,2023,0.934,21975,20577,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2023,2024,0.9079,20577,15177,font_heading,font_heading,11932
011932,Iochpe Maxion SA,2024,2025,0.9074,15177,11767,font_heading,font_heading,11932
012653,KLABIN S/A,2010,2011,0.9603,5441,4814,font_heading,font_heading,12653
012653,KLABIN S/A,2011,2012,0.9403,4814,3886,font_heading,font_heading,12653
012653,KLABIN S/A,2012,2013,0.5609,3886,4658,font_heading,font_heading,12653
012653,KLABIN S/A,2013,2014,0.7246,4658,11756,font_heading,font_heading,12653
012653,KLABIN S/A,2014,2015,0.8969,11756,11782,font_heading,font_heading,12653
