cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return,extreme_ar,prev_ok,curr_ok,both_ok
6505,2016,2017,0.9138,143638,142991,BHIA3,2018-02-19,2018-02-19,2019-02-26,-0.3837209302325581,0.1510718315289132,-0.5347927617614714,True,True,True,True
6505,2017,2018,0.8055,142991,158243,BHIA3,2019-02-20,2019-02-20,2020-02-27,1.7024952015355086,0.0666912079478949,1.6358039935876136,True,True,True,True
6505,2018,2019,0.7641,158243,166276,BHIA3,2020-03-26,2020-03-26,2021-04-05,1.1964912280701756,0.5122758225939992,0.6842154054761764,True,True,True,True
6505,2019,2020,0.7428,166276,165875,BHIA3,2021-03-02,2021-03-02,2022-03-07,-0.7171381031613977,0.0004810838821658,-0.7176191870435635,True,True,True,True
6505,2020,2021,0.7945,165875,164701,BHIA3,2022-03-09,2022-03-09,2023-03-10,-0.4662756598240469,-0.0902731282452712,-0.3760025315787757,False,True,True,True
6505,2021,2022,0.9027,164701,164368,BHIA3,2023-03-09,2023-03-09,2024-03-14,-0.8348453608247423,0.2152709986438719,-1.050116359468614,True,True,True,True
6505,2022,2023,0.8896,164368,153589,BHIA3,2024-03-25,2024-03-25,2025-03-27,0.4696969696969697,0.0489813912972094,0.4207155783997602,False,True,True,True
6505,2023,2024,0.9063,153589,162067,BHIA3,2025-03-12,2025-03-12,2026-03-16,-0.4652014652014652,0.4522069859159479,-0.9174084511174132,True,True,True,True
8133,2019,2020,0.7729,139213,180180,LREN3,2021-02-11,2021-02-11,2022-02-16,-0.2317593297921631,-0.0345254473539484,-0.1972338824382147,False,True,True,True
8133,2020,2021,0.6466,180180,150743,LREN3,2022-03-17,2022-03-17,2023-03-20,-0.2375545853504318,-0.1074799650819937,-0.130074620268438,False,True,True,True
8133,2021,2022,0.9279,150743,143572,LREN3,2023-02-16,2023-02-16,2024-02-26,-0.2115583076665058,0.1788914755179711,-0.390449783184477,False,True,True,True
8133,2022,2023,0.9495,143572,138987,LREN3,2024-03-14,2024-03-14,2025-03-18,-0.1778316172514941,0.0296402293774522,-0.2074718466289463,False,True,True,True
8451,2015,2016,0.9828,136443,141275,POMO4,2017-02-23,2017-02-23,2018-03-07,0.3693379788830662,0.2671477714882542,0.102190207394812,False,True,True,True
8451,2016,2017,0.9861,141275,148495,POMO4,2018-02-22,2018-02-22,2019-03-01,0.0560239133727933,0.091332613113122,-0.0353086997403286,False,True,True,True
8451,2017,2018,0.9573,148495,144360,POMO4,2019-02-26,2019-02-26,2020-03-04,0.3476070526965591,0.0985804666888654,0.2490265860076936,False,True,True,True
8451,2018,2019,0.9799,144360,148462,POMO4,2020-02-27,2020-02-27,2021-03-05,-0.4707070706666666,0.1186474532327994,-0.5893545238994661,True,True,True,True
8451,2019,2020,0.8842,148462,164141,POMO4,2021-02-25,2021-02-25,2022-03-02,0.0620155037530196,0.0259873917166029,0.0360281120364167,False,True,True,True
