cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
004820,BRASKEM,stayed,2022,2024,0.339,11707,1199,regex_only,font_heading
005258,RAIADROGASIL,stayed,2015,2016,0.9758,2768,2725,regex_only,regex_only
005258,RAIADROGASIL,stayed,2016,2017,0.3017,2725,520,regex_only,regex_only
005258,RAIADROGASIL,stayed,2017,2018,0.9786,520,553,regex_only,regex_only
005258,RAIADROGASIL,stayed,2018,2019,0.1675,553,8158,regex_only,font_heading
005258,RAIADROGASIL,stayed,2019,2020,0.6231,8158,25292,font_heading,font_heading
005258,RAIADROGASIL,stayed,2020,2021,0.6337,25292,10190,font_heading,font_heading
005258,RAIADROGASIL,stayed,2021,2022,0.9058,10190,12138,font_heading,font_heading
005258,RAIADROGASIL,stayed,2022,2023,0.7706,12138,5541,font_heading,font_heading
005258,RAIADROGASIL,stayed,2023,2024,0.7619,5541,14023,font_heading,font_heading
005410,WEG,stayed,2015,2016,0.9902,2516,2501,font_heading,font_heading
005410,WEG,stayed,2016,2017,0.9843,2501,2524,font_heading,font_heading
005410,WEG,stayed,2017,2018,0.9835,2524,2615,font_heading,font_heading
005410,WEG,stayed,2018,2019,0.9791,2615,2633,font_heading,font_heading
005410,WEG,stayed,2019,2020,0.9682,2633,2695,font_heading,font_heading
005410,WEG,stayed,2020,2021,0.8889,2695,2214,font_heading,font_heading
005410,WEG,stayed,2021,2022,0.8915,2214,2482,font_heading,font_heading
005410,WEG,stayed,2022,2023,0.9749,2482,2322,font_heading,font_heading
005410,WEG,stayed,2023,2024,0.9081,2322,2484,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2015,2016,0.8064,3122,3231,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2016,2017,0.9089,3231,3485,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2017,2018,0.8392,3485,3880,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2018,2019,0.7976,3880,6079,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2019,2020,0.167,6079,11088,font_heading,regex_only
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2020,2021,0.0781,11088,533,regex_only,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2021,2022,1.0,533,533,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2022,2023,0.3136,533,10433,font_heading,font_heading
006505,Grupo Casas Bahia S.A. (Via Varejo),dropped_or_delisted,2023,2024,0.57,10433,9969,font_heading,font_heading
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2015,2016,0.9801,13238,13513,font_heading,font_heading
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2016,2017,0.0879,13513,7885,font_heading,regex_only
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2017,2018,0.8929,7885,6172,regex_only,regex_only
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2018,2019,0.0477,6172,10978,regex_only,font_heading
008087,Lojas Americanas S.A. (pre-2021 restructuring entity),dropped_or_delisted,2019,2020,0.917,10978,14513,font_heading,font_heading
008133,LOJAS RENNER,stayed,2015,2016,0.1409,9858,1385,font_heading,font_heading
008133,LOJAS RENNER,stayed,2016,2017,0.1403,1385,6401,font_heading,font_heading
008133,LOJAS RENNER,stayed,2017,2018,0.6656,6401,4064,font_heading,font_heading
008133,LOJAS RENNER,stayed,2018,2019,0.0539,4064,647,font_heading,regex_only
008133,LOJAS RENNER,stayed,2019,2020,0.0532,647,8055,regex_only,font_heading
008133,LOJAS RENNER,stayed,2020,2021,0.1626,8055,20734,font_heading,font_heading
008133,LOJAS RENNER,stayed,2021,2022,0.1358,20734,2231,font_heading,font_heading
008133,LOJAS RENNER,stayed,2022,2023,0.0812,2231,3472,font_heading,font_heading
008133,LOJAS RENNER,stayed,2023,2024,0.0579,3472,4613,font_heading,font_heading
008451,MARCOPOLO,stayed,2015,2016,0.9435,3386,3414,font_heading,font_heading
008451,MARCOPOLO,stayed,2016,2017,0.9283,3414,3917,font_heading,font_heading
008451,MARCOPOLO,stayed,2017,2018,0.9541,3917,3504,font_heading,font_heading
008451,MARCOPOLO,stayed,2018,2019,0.8943,3504,4438,font_heading,font_heading
008451,MARCOPOLO,stayed,2019,2020,0.8974,4438,3435,font_heading,font_heading
008451,MARCOPOLO,stayed,2020,2021,0.9754,3435,3292,font_heading,font_heading
008451,MARCOPOLO,stayed,2021,2022,0.9979,3292,3267,font_heading,font_heading
008451,MARCOPOLO,stayed,2022,2023,0.9917,3267,3248,font_heading,font_heading
008451,MARCOPOLO,stayed,2023,2024,0.9738,3248,3022,font_heading,font_heading
008656,GERDAU MET,stayed,2015,2016,0.8777,8286,6643,font_heading,font_heading
008656,GERDAU MET,stayed,2016,2017,0.908,6643,6558,font_heading,font_heading
008656,GERDAU MET,stayed,2017,2018,0.921,6558,7916,font_heading,font_heading
008656,GERDAU MET,stayed,2018,2019,0.8371,7916,6858,font_heading,font_heading
008656,GERDAU MET,stayed,2019,2021,0.1686,6858,15491,font_heading,regex_only
008656,GERDAU MET,stayed,2021,2022,0.1492,15491,2538,regex_only,font_heading
008656,GERDAU MET,stayed,2022,2023,0.8357,2538,1968,font_heading,font_heading
008656,GERDAU MET,stayed,2023,2024,0.7287,1968,3969,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2015,2017,0.0396,455,1727,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2017,2018,0.5308,1727,1879,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2018,2019,0.9659,1879,1845,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2019,2021,0.0765,1845,10631,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2021,2022,0.9968,10631,10800,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2022,2023,0.7559,10800,23133,font_heading,font_heading
008672,IGUATEMI S.A,stayed,2023,2024,0.9252,23133,19519,font_heading,font_heading
009512,PETROBRAS,stayed,2016,2017,0.4201,23145,11894,regex_only,regex_only
009512,PETROBRAS,stayed,2017,2018,0.4636,11894,12765,regex_only,regex_only
009512,PETROBRAS,stayed,2018,2019,0.0871,12765,172,regex_only,font_heading
009512,PETROBRAS,stayed,2019,2020,0.2585,172,3255,font_heading,regex_only
009512,PETROBRAS,stayed,2020,2021,0.1776,3255,11583,regex_only,regex_only
009512,PETROBRAS,stayed,2021,2022,0.9153,11583,12686,regex_only,regex_only
009512,PETROBRAS,stayed,2022,2023,0.9448,12686,12535,regex_only,regex_only
009512,PETROBRAS,stayed,2023,2024,0.8678,12535,14601,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2015,2016,0.7823,3926,5798,font_heading,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2016,2017,0.9194,5798,6834,font_heading,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2017,2019,0.8301,6834,5840,font_heading,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2019,2020,0.1171,5840,879,font_heading,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2020,2021,0.2186,879,1640,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2021,2022,0.2427,1640,847,regex_only,regex_only
010456,Alpargatas S.A.,dropped_or_delisted,2022,2023,0.1156,847,404,regex_only,font_heading
010456,Alpargatas S.A.,dropped_or_delisted,2023,2024,0.0937,404,6831,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2015,2016,0.8664,454,581,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2016,2017,0.2362,581,6191,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2017,2018,0.4508,6191,4472,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2018,2019,0.1664,4472,987,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2019,2020,0.71,987,1600,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2020,2021,1.0,1600,1600,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2021,2022,0.71,1600,984,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2022,2023,0.9422,984,978,font_heading,font_heading
011312,Oi S.A. - Em Recuperação Judicial,dropped_or_delisted,2023,2024,0.9603,978,1028,font_heading,font_heading
012653,KLABIN S/A,stayed,2015,2016,0.9139,11782,13303,font_heading,font_heading
012653,KLABIN S/A,stayed,2016,2017,0.0539,13303,1166,font_heading,regex_only
012653,KLABIN S/A,stayed,2017,2018,0.4722,1166,7677,regex_only,regex_only
012653,KLABIN S/A,stayed,2018,2019,0.8319,7677,8121,regex_only,regex_only
012653,KLABIN S/A,stayed,2019,2020,0.7836,8121,11643,regex_only,regex_only
012653,KLABIN S/A,stayed,2020,2021,0.2314,11643,19829,regex_only,font_heading
012653,KLABIN S/A,stayed,2021,2022,0.8378,19829,22209,font_heading,font_heading
012653,KLABIN S/A,stayed,2022,2023,0.4898,22209,2909,font_heading,font_heading
012653,KLABIN S/A,stayed,2023,2024,0.8338,2909,2496,font_heading,font_heading
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2015,2016,0.1237,11338,4301,font_heading,regex_only
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2016,2017,0.9734,4301,4378,regex_only,regex_only
012793,Fibria Celulose S.A. (pre-Suzano-merger entity),dropped_or_delisted,2017,2018,0.0955,4378,13440,regex_only,font_heading
013986,SUZANO S.A.,stayed,2015,2016,0.0919,9391,6662,font_heading,regex_only
013986,SUZANO S.A.,stayed,2016,2017,0.0892,6662,7269,regex_only,font_heading
013986,SUZANO S.A.,stayed,2017,2018,0.6949,7269,10630,font_heading,font_heading
013986,SUZANO S.A.,stayed,2018,2019,0.4393,10630,15935,font_heading,font_heading
013986,SUZANO S.A.,stayed,2019,2020,0.0631,15935,8844,font_heading,regex_only
013986,SUZANO S.A.,stayed,2020,2021,0.7814,8844,12216,regex_only,regex_only
013986,SUZANO S.A.,stayed,2021,2022,0.888,12216,11836,regex_only,regex_only
013986,SUZANO S.A.,stayed,2022,2023,0.9375,11836,11229,regex_only,regex_only
013986,SUZANO S.A.,stayed,2023,2024,0.1822,11229,4120,regex_only,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2015,2016,0.2391,1706,1530,font_heading,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2016,2017,0.1143,1530,25297,font_heading,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2017,2018,0.1619,25297,24995,regex_only,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2018,2019,0.157,24995,17198,font_heading,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2019,2020,0.8533,17198,14968,regex_only,regex_only
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2020,2021,0.0475,14968,226,regex_only,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2021,2022,0.1996,226,18409,font_heading,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2022,2023,0.9056,18409,22117,font_heading,font_heading
014176,Eletropaulo Metropolitana Eletricidade de São Paulo S.A.,dropped_or_delisted,2023,2024,0.571,22117,15608,font_heading,font_heading
014311,COPEL,stayed,2015,2016,0.4614,17420,17398,font_heading,regex_only
014311,COPEL,stayed,2016,2017,0.8729,17398,19354,regex_only,regex_only
014311,COPEL,stayed,2017,2018,0.4853,19354,22622,regex_only,font_heading
014311,COPEL,stayed,2018,2019,0.8723,22622,21372,font_heading,font_heading
014311,COPEL,stayed,2019,2020,0.9697,21372,20763,font_heading,font_heading
014311,COPEL,stayed,2020,2021,0.9604,20763,21909,font_heading,font_heading
014311,COPEL,stayed,2021,2023,0.9247,21909,25112,font_heading,font_heading
014311,COPEL,stayed,2023,2024,0.4505,25112,2548,font_heading,font_heading
014320,USIMINAS,stayed,2015,2016,0.7467,8699,10028,font_heading,font_heading
014320,USIMINAS,stayed,2016,2017,0.7305,10028,12194,font_heading,font_heading
014320,USIMINAS,stayed,2017,2018,0.6928,12194,7252,font_heading,font_heading
014320,USIMINAS,stayed,2018,2019,0.7821,7252,8049,font_heading,font_heading
014320,USIMINAS,stayed,2019,2020,0.6901,8049,4754,font_heading,font_heading
014320,USIMINAS,stayed,2020,2021,0.9796,4754,4363,font_heading,font_heading
014320,USIMINAS,stayed,2021,2022,0.9365,4363,4446,font_heading,font_heading
014320,USIMINAS,stayed,2022,2023,0.9893,4446,4175,font_heading,font_heading
014320,USIMINAS,stayed,2023,2024,0.8233,4175,6498,font_heading,font_heading
014443,SABESP,stayed,2015,2016,0.2731,14310,31964,font_heading,font_heading
014443,SABESP,stayed,2016,2017,0.214,31964,39928,font_heading,regex_only
014443,SABESP,stayed,2017,2018,0.2055,39928,34617,regex_only,font_heading
014443,SABESP,stayed,2018,2019,0.8432,34617,18892,font_heading,font_heading
014443,SABESP,stayed,2019,2020,0.1717,18892,16704,font_heading,regex_only
014443,SABESP,stayed,2020,2021,0.1242,16704,18283,regex_only,font_heading
014443,SABESP,stayed,2021,2022,0.9576,18283,20046,font_heading,font_heading
014443,SABESP,stayed,2022,2023,0.9719,20046,18555,font_heading,font_heading
014443,SABESP,stayed,2023,2024,0.9302,18555,22572,font_heading,font_heading
014460,CYRELA REALT,stayed,2015,2016,0.369,98953,8306,font_heading,font_heading
014460,CYRELA REALT,stayed,2016,2017,0.7642,8306,6450,font_heading,font_heading
014460,CYRELA REALT,stayed,2017,2018,0.7156,6450,7697,font_heading,font_heading
014460,CYRELA REALT,stayed,2018,2019,0.9559,7697,7233,font_heading,font_heading
014460,CYRELA REALT,stayed,2019,2020,0.1392,7233,8375,font_heading,regex_only
014460,CYRELA REALT,stayed,2020,2021,0.8646,8375,7038,regex_only,regex_only
014460,CYRELA REALT,stayed,2021,2022,0.9573,7038,7433,regex_only,regex_only
014460,CYRELA REALT,stayed,2022,2023,0.0431,7433,628,regex_only,font_heading
014460,CYRELA REALT,stayed,2023,2024,0.0423,628,7813,font_heading,regex_only
014761,Cia Hering,dropped_or_delisted,2015,2017,0.3155,822,1152,font_heading,font_heading
014761,Cia Hering,dropped_or_delisted,2017,2018,0.3755,1152,226,font_heading,font_heading
014761,Cia Hering,dropped_or_delisted,2018,2020,0.083,226,50769,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2015,2016,0.8245,7026,8890,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2016,2017,0.8956,8890,8070,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2017,2018,0.8973,8070,8590,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2018,2019,0.1382,8590,6367,font_heading,regex_only
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2019,2020,0.3936,6367,1093,regex_only,regex_only
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2020,2021,0.0721,1093,6845,regex_only,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2021,2022,0.9388,6845,7065,font_heading,font_heading
014826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2022,2024,0.1266,7065,14904,font_heading,regex_only
015253,ENERGISA,stayed,2015,2016,0.9725,34472,34892,font_heading,font_heading
015253,ENERGISA,stayed,2016,2017,0.9397,34892,39827,font_heading,font_heading
015253,ENERGISA,stayed,2017,2018,0.9392,39827,34264,font_heading,font_heading
015253,ENERGISA,stayed,2018,2019,0.4528,34264,12980,font_heading,font_heading
015253,ENERGISA,stayed,2019,2020,0.7624,12980,16257,font_heading,font_heading
015253,ENERGISA,stayed,2020,2021,0.9566,16257,16193,font_heading,font_heading
015253,ENERGISA,stayed,2021,2022,0.9382,16193,19696,font_heading,font_heading
015253,ENERGISA,stayed,2022,2023,0.8261,19696,18983,font_heading,font_heading
015253,ENERGISA,stayed,2023,2024,0.9295,18983,17850,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2015,2016,0.8999,9999,9460,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2016,2017,0.9183,9460,9321,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2017,2018,0.9154,9321,10509,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2018,2019,0.9202,10509,7976,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2019,2020,0.9196,7976,9382,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2020,2021,0.9174,9382,9858,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2021,2022,0.8848,9858,8175,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2022,2023,0.8787,8175,8508,font_heading,font_heading
016101,Gafisa S.A.,dropped_or_delisted,2023,2024,0.0461,8508,150,font_heading,regex_only
016292,BRF S.A.,dropped_or_delisted,2015,2016,0.0417,14058,689,font_heading,regex_only
016292,BRF S.A.,dropped_or_delisted,2016,2017,0.8646,689,1305,regex_only,regex_only
016292,BRF S.A.,dropped_or_delisted,2017,2018,0.0558,1305,21724,regex_only,font_heading
016292,BRF S.A.,dropped_or_delisted,2018,2019,0.1162,21724,578,font_heading,font_heading
016292,BRF S.A.,dropped_or_delisted,2019,2020,0.0688,578,4833,font_heading,regex_only
016292,BRF S.A.,dropped_or_delisted,2020,2021,0.8263,4833,5457,regex_only,regex_only
016292,BRF S.A.,dropped_or_delisted,2021,2022,0.8387,5457,4879,regex_only,regex_only
016292,BRF S.A.,dropped_or_delisted,2022,2023,0.0866,4879,7521,regex_only,font_heading
016292,BRF S.A.,dropped_or_delisted,2023,2024,0.9445,7521,7917,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2015,2016,0.2014,7447,2722,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2016,2017,0.1027,2722,1551,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2017,2018,0.1777,1551,4872,font_heading,regex_only
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2018,2020,0.2024,4872,682,regex_only,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2020,2021,0.073,682,6777,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2021,2022,0.3716,6777,592,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2022,2023,0.7235,592,532,font_heading,font_heading
016306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2023,2024,0.2457,532,4224,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2015,2016,0.035,20039,242,regex_only,font_heading
017329,ENGIE BRASIL,stayed,2016,2017,0.1534,242,3983,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2017,2018,0.9413,3983,4181,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2018,2019,0.1397,4181,325,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2019,2020,0.9028,325,421,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2020,2021,0.2093,421,25142,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2021,2022,0.1051,25142,244,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2022,2023,0.0664,244,382,font_heading,font_heading
017329,ENGIE BRASIL,stayed,2023,2024,0.4075,382,1127,font_heading,font_heading
017450,RUMO S.A.,stayed,2015,2016,0.2742,3870,7952,font_heading,font_heading
017450,RUMO S.A.,stayed,2016,2017,0.2315,7952,2860,font_heading,font_heading
017450,RUMO S.A.,stayed,2017,2018,0.1468,2860,8182,font_heading,font_heading
017450,RUMO S.A.,stayed,2018,2019,0.1648,8182,3119,font_heading,font_heading
017450,RUMO S.A.,stayed,2019,2020,0.0909,3119,5555,font_heading,font_heading
017450,RUMO S.A.,stayed,2020,2021,0.1019,5555,6332,font_heading,regex_only
017450,RUMO S.A.,stayed,2021,2022,0.9952,6332,6541,regex_only,regex_only
017450,RUMO S.A.,stayed,2022,2023,0.1638,6541,35683,regex_only,font_heading
017450,RUMO S.A.,stayed,2023,2024,0.9701,35683,38856,font_heading,font_heading
017671,TELEF BRASIL,stayed,2015,2016,0.7692,28026,17162,font_heading,font_heading
017671,TELEF BRASIL,stayed,2016,2017,0.6709,17162,8175,font_heading,font_heading
017671,TELEF BRASIL,stayed,2017,2018,0.9235,8175,10249,font_heading,font_heading
017671,TELEF BRASIL,stayed,2018,2019,0.7411,10249,7547,font_heading,font_heading
017671,TELEF BRASIL,stayed,2019,2020,0.8655,7547,12121,font_heading,font_heading
017671,TELEF BRASIL,stayed,2020,2021,0.7418,12121,6982,font_heading,font_heading
017671,TELEF BRASIL,stayed,2021,2022,0.1651,6982,5949,font_heading,regex_only
017671,TELEF BRASIL,stayed,2022,2023,0.224,5949,15075,regex_only,font_heading
017671,TELEF BRASIL,stayed,2023,2024,0.8232,15075,18193,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2015,2016,0.8233,4688,6844,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2016,2017,0.8603,6844,6053,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2017,2018,0.653,6053,6202,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2018,2019,0.839,6202,8711,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2019,2020,0.8436,8711,7312,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2020,2021,0.9561,7312,7143,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2021,2022,0.9587,7143,7046,font_heading,font_heading
017892,Santos Brasil Participações S.A.,dropped_or_delisted,2022,2023,0.8345,7046,5564,font_heading,font_heading
