cd_cvm,year_curr,ticker,TextChange,cosine_similarity,window_start,window_end,n_est_obs,n_event_days,BHAR_ajustado_raw,BHAR_ajustado
20478,2014,PDGR3,0.5173,0.4827,2015-03-18,2016-03-29,252,253,-0.49792769829051553,-0.49792769829051553
20478,2015,PDGR3,0.03259999999999996,0.9674,2016-03-29,2017-03-30,252,253,-0.8291122475122483,-0.7804443270953253
20494,2014,IGTA3,0.1985,0.8015,2015-03-19,2016-03-30,252,253,-0.3173215440082966,-0.3173215440082966
20494,2015,IGTA3,0.046699999999999964,0.9533,2016-03-08,2017-03-10,252,253,0.09280466402072407,0.09280466402072407
20516,2014,SMTO3,0.8415,0.1585,2014-06-16,2015-06-22,110,253,-0.4954505899136691,-0.4954505899136691
20516,2015,SMTO3,0.6986,0.3014,2015-07-08,2016-07-15,252,253,0.0863938414384875,0.0863938414384875
20524,2014,EVEN3,0.04630000000000001,0.9537,2015-03-16,2016-03-24,252,253,0.31131002015844045,0.31131002015844045
20575,2020,JBSS3,0.01529999999999998,0.9847,2021-03-24,2022-03-29,252,253,-0.01369403975175576,-0.01369403975175576
20575,2021,JBSS3,0.09570000000000001,0.9043,2022-03-21,2023-03-22,252,253,-0.6477009723341032,-0.6477009723341032
20575,2022,JBSS3,0.12260000000000004,0.8774,2023-03-21,2024-03-26,252,253,0.6117153892055436,0.6117153892055436
20575,2023,JBSS3,0.023499999999999965,0.9765,2024-03-26,2025-03-28,252,253,0.7762847565431406,0.7762847565431406
20605,2014,JHSF3,0.08889999999999998,0.9111,2015-03-12,2016-03-22,252,253,0.09013518960846167,0.09013518960846167
20605,2015,JHSF3,0.2763,0.7237,2016-03-30,2017-03-31,252,253,0.07050708733711519,0.07050708733711519
20745,2014,SLCE3,0.9682,0.0318,2015-03-11,2016-03-21,252,253,0.11280718363227127,0.11280718363227127
20745,2018,SLCE3,0.9624,0.0376,2019-03-13,2020-03-17,252,253,-0.21609918048983745,-0.21609918048983745
20770,2014,EZTC3,0.8686,0.1314,2015-03-18,2016-03-29,252,253,0.09841533980768813,0.09841533980768813
20770,2015,EZTC3,0.08440000000000003,0.9156,2016-03-29,2017-03-30,252,253,-0.3516230739997357,-0.3516230739997357
20788,2014,MBRF3,0.15069999999999995,0.8493,2015-03-02,2016-03-10,252,253,-0.23765903178492853,-0.23765903178492853
20788,2015,MBRF3,0.0938,0.9062,2016-02-29,2017-03-02,252,253,-0.7102649484252679,-0.7102649484252679
20915,2014,MRVE3,0.04069999999999996,0.9593,2015-03-05,2016-03-15,252,253,0.8874808442639841,0.8874808442639841
20915,2015,MRVE3,0.0766,0.9234,2016-03-07,2017-03-09,252,253,-0.44414760822485366,-0.44414760822485366
20931,2014,BEEF3,0.8703,0.1297,2015-03-27,2016-04-07,252,253,0.8420396933216967,0.8420396933216967
20931,2015,BEEF3,0.05900000000000005,0.941,2016-03-08,2017-03-10,252,253,-0.643342424995857,-0.643342424995857
20982,2014,MULT3,0.8119000000000001,0.1881,2015-02-24,2016-03-04,252,253,-0.040764965846702195,-0.040764965846702195
20982,2015,MULT3,0.03400000000000003,0.966,2016-02-24,2017-02-23,252,253,0.04417161992166174,0.04417161992166174
20990,2014,AMER3,0.15710000000000002,0.8429,2015-03-18,2016-03-29,252,253,-0.2521360561207502,-0.2521360561207502
21016,2014,YDUQ3,0.09999999999999998,0.9,2015-03-19,2016-03-30,252,253,0.11320868045152221,0.11320868045152221
21016,2015,YDUQ3,0.10419999999999996,0.8958,2016-03-10,2017-03-14,252,253,-0.03384391080971727,-0.03384391080971727
21091,2014,DXCO3,0.14459999999999995,0.8554,2015-02-05,2016-02-18,252,253,0.18863925301274254,0.18863925301274254
21091,2015,DXCO3,0.11650000000000005,0.8835,2016-02-15,2017-02-14,252,253,-0.05041974155668605,-0.05041974155668605
21237,2014,ENEV3,0.059799999999999964,0.9402,2015-03-26,2016-04-06,252,253,1.6580523102455773,1.6580523102455773
21237,2015,ENEV3,0.20030000000000003,0.7997,2016-03-24,2017-03-28,252,253,-0.7555625643887038,-0.7555625643887038
21350,2014,DIRR3,0.06230000000000002,0.9377,2015-03-16,2016-03-24,252,253,0.4678754062223889,0.4678754062223889
21350,2015,DIRR3,0.7228,0.2772,2016-03-14,2017-03-16,252,253,-0.5020082785022093,-0.5020082785022093
21431,2014,HYPE3,0.018900000000000028,0.9811,2015-02-06,2016-02-19,252,253,0.3167118113234326,0.3167118113234326
21431,2015,HYPE3,0.047900000000000054,0.9521,2016-02-26,2017-03-01,252,253,-0.553226797845012,-0.553226797845012
21881,2014,FLRY3,0.05779999999999996,0.9422,2015-03-25,2016-04-05,252,253,0.7459024805111727,0.7459024805111727
21881,2015,FLRY3,0.374,0.626,2016-03-03,2017-03-07,252,253,0.4119888552483051,0.4119888552483051
22187,2015,PRIO3,0.6501,0.3499,2016-03-23,2017-03-28,252,253,2.9979688643601605,2.9979688643601605
22349,2014,AZZA3,0.13590000000000002,0.8641,2015-03-03,2016-03-11,252,253,-0.24527119436779432,-0.24527119436779432
22349,2015,AZZA3,0.06589999999999996,0.9341,2016-03-02,2017-03-06,252,253,0.2870089271903311,0.2870089271903311
22357,2014,ALOS3,0.07010000000000005,0.9299,2015-03-04,2016-03-15,252,253,-0.35291697199760597,-0.35291697199760597
22357,2015,ALOS3,0.013000000000000012,0.987,2016-03-03,2017-03-07,252,253,0.1848689927190048,0.1848689927190048
22470,2014,MGLU3,0.4769,0.5231,2015-02-26,2016-03-08,252,253,-0.32152581965123717,-0.32152581965123717
22470,2015,MGLU3,0.3005,0.6995,2017-05-31,2018-06-08,252,253,-0.6537058231009897,-0.6537058231009897
23264,2014,ABEV3,0.06459999999999999,0.9354,2015-02-26,2016-03-08,252,253,0.11636911967537289,0.11636911967537289
23264,2015,ABEV3,0.02969999999999995,0.9703,2016-02-25,2017-02-24,252,253,-0.3444446658178658,-0.3444446658178658
23310,2014,CVCB3,0.17579999999999996,0.8242,2015-02-09,2016-02-22,252,253,-0.20050582113578752,-0.20050582113578752
23310,2015,CVCB3,0.9033,0.0967,2016-02-19,2017-02-20,252,253,0.4070161932889109,0.4070161932889109
23450,2015,RUMO3,0.8976999999999999,0.1023,2016-02-25,2017-02-24,219,253,2.0022735593542436,2.0022735593542436
23485,2014,RLOG3,0.16969999999999996,0.8303,2015-03-18,2016-03-29,110,253,-0.7837213405153021,-0.7804443270953253
23485,2015,RLOG3,0.8685,0.1315,2016-02-25,2017-02-24,252,253,1.9386077257364196,1.9386077257364196
23485,2016,RLOG3,0.7545,0.2455,2017-02-21,2018-03-05,252,253,-0.4858483540536145,-0.4858483540536145
23485,2017,RLOG3,0.22130000000000005,0.7787,2018-03-26,2019-04-04,252,253,0.18410416739832702,0.18410416739832702
23485,2018,RLOG3,0.17459999999999998,0.8254,2019-02-13,2020-02-18,252,253,-0.4662576042880783,-0.4662576042880783
23485,2019,RLOG3,0.4739,0.5261,2020-02-17,2021-02-25,252,253,-0.04082373289425545,-0.04082373289425545
