cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_bad,curr_bad,either_bad
12653,2021,2022,0.4079,239679,270436,stayed,False,False,False
12653,2022,2023,0.9788,270436,252669,stayed,False,False,False
12653,2023,2024,0.989,252669,269977,stayed,False,False,False
12793,2015,2016,0.551,224345,64818,dropped_or_delisted,False,False,False
12793,2016,2017,0.9342,64818,66755,dropped_or_delisted,False,False,False
12793,2017,2018,0.5613,66755,221183,dropped_or_delisted,False,False,False
13986,2015,2016,0.4688,162228,59750,stayed,False,False,False
13986,2016,2017,0.4367,59750,166321,stayed,False,False,False
13986,2017,2018,0.8249,166321,215584,stayed,False,False,False
13986,2018,2019,0.8582,215584,271462,stayed,False,False,False
13986,2019,2020,0.9244,271462,298348,stayed,False,False,False
13986,2020,2021,0.9513,298348,290070,stayed,False,False,False
13986,2021,2022,0.9632,290070,278350,stayed,False,False,False
13986,2022,2023,0.9591,278350,273650,stayed,False,False,False
13986,2023,2024,0.9751,273650,274607,stayed,False,False,False
14176,2015,2016,0.9403,283551,322686,dropped_or_delisted,False,False,False
14176,2016,2017,0.3384,322686,81966,dropped_or_delisted,False,False,False
14176,2017,2018,0.3451,81966,392012,dropped_or_delisted,False,False,False
14176,2018,2019,0.7375,392012,286573,dropped_or_delisted,False,False,False
14176,2019,2020,0.833,286573,281455,dropped_or_delisted,False,False,False
14176,2020,2021,0.8868,281455,191653,dropped_or_delisted,False,False,False
14176,2021,2022,0.83,191653,282719,dropped_or_delisted,False,False,False
14176,2022,2023,0.9529,282719,288120,dropped_or_delisted,False,False,False
14176,2023,2024,0.8222,288120,293315,dropped_or_delisted,False,False,False
14311,2015,2016,0.8136,289123,163642,stayed,False,False,False
14311,2016,2017,0.9624,163642,139503,stayed,False,False,False
14311,2017,2018,0.7334,139503,325757,stayed,False,False,False
14311,2018,2019,0.9865,325757,308157,stayed,False,False,False
14311,2019,2020,0.981,308157,350652,stayed,False,False,False
14311,2020,2021,0.9775,350652,334303,stayed,False,False,False
14311,2023,2024,0.9803,326092,277416,stayed,False,False,False
14320,2015,2016,0.9822,200762,219603,stayed,False,False,False
14320,2016,2017,0.9797,219603,214206,stayed,False,False,False
14320,2017,2018,0.9804,214206,203967,stayed,False,False,False
14320,2018,2019,0.9887,203967,204148,stayed,False,False,False
14320,2019,2020,0.9777,204148,200997,stayed,False,False,False
14320,2020,2021,0.936,200997,202683,stayed,False,False,False
14320,2021,2022,0.9691,202683,220649,stayed,False,False,False
14320,2022,2023,0.9752,220649,217795,stayed,False,False,False
14320,2023,2024,0.9891,217795,215483,stayed,False,False,False
14443,2015,2016,0.7174,168528,263570,stayed,False,False,False
14443,2016,2017,0.7655,263570,146834,stayed,False,False,False
14443,2017,2018,0.7256,146834,282037,stayed,False,False,False
14443,2018,2019,0.9855,282037,242449,stayed,False,False,False
14443,2019,2020,0.6132,242449,176912,stayed,False,False,False
14443,2020,2021,0.6004,176912,223209,stayed,False,False,False
14443,2021,2022,0.9884,223209,218593,stayed,False,False,False
14443,2022,2023,0.9849,218593,244365,stayed,False,False,False
14443,2023,2024,0.955,244365,261497,stayed,False,False,False
14460,2015,2016,0.8731,206885,213748,stayed,False,False,False
14460,2016,2017,0.9823,213748,181084,stayed,False,False,False
14460,2017,2018,0.9503,181084,189467,stayed,False,False,False
14460,2018,2019,0.9483,189467,193192,stayed,False,False,False
14460,2019,2020,0.9463,193192,229511,stayed,False,False,False
14460,2020,2021,0.9902,229511,233137,stayed,False,False,False
14460,2021,2022,0.9847,233137,247734,stayed,False,False,False
14460,2022,2023,0.9907,247734,262016,stayed,False,False,False
14460,2023,2024,0.9056,262016,236999,stayed,False,False,False
14761,2015,2016,0.3939,149789,28216,dropped_or_delisted,False,False,False
14761,2016,2017,0.3285,28216,140746,dropped_or_delisted,False,False,False
14761,2017,2018,0.941,140746,134950,dropped_or_delisted,False,False,False
14761,2018,2019,0.3325,134950,22168,dropped_or_delisted,False,False,False
14761,2019,2020,0.3077,22168,156132,dropped_or_delisted,False,False,False
14826,2015,2016,0.8945,303950,263729,dropped_or_delisted,False,False,False
14826,2016,2017,0.9509,263729,254081,dropped_or_delisted,False,False,False
14826,2017,2018,0.934,254081,252055,dropped_or_delisted,False,False,False
14826,2020,2021,0.5226,42389,232095,dropped_or_delisted,False,False,False
14826,2021,2022,0.9353,232095,223447,dropped_or_delisted,False,False,False
15253,2015,2016,0.978,313688,361711,stayed,False,False,False
15253,2016,2017,0.969,361711,397685,stayed,False,False,False
15253,2017,2018,0.9608,397685,417774,stayed,False,False,False
15253,2018,2019,0.958,417774,438958,stayed,False,False,False
