cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
14311,2018,2019,0.9865,325757,308157,stayed,True,True,True,CPLE3,2020-03-25,2020-03-25,2020-03-27,0.06236847139850776,-0.020369266753624937,0.0827377381521327
14311,2019,2020,0.981,308157,350652,stayed,True,True,True,CPLE3,2021-05-05,2021-05-05,2021-05-07,0.012962962962962843,0.020689010879823444,-0.007726047916860601
14311,2020,2021,0.9775,350652,334303,stayed,True,True,True,CPLE3,2022-03-22,2022-03-22,2022-03-24,-0.01729106628242072,0.015182339516428556,-0.032473405798849275
14311,2023,2024,0.9803,326092,277416,stayed,True,True,True,CPLE3,2025-02-27,2025-02-27,2025-03-05,-0.032822757111597434,-0.014039459944217514,-0.01878329716737992
14320,2015,2016,0.9822,200762,219603,stayed,True,True,True,USIM5,2017-02-17,2017-02-17,2017-02-21,-0.007339449541284404,0.01924177715140818,-0.026581226692692583
14320,2016,2017,0.9797,219603,214206,stayed,True,True,True,USIM5,2018-02-09,2018-02-09,2018-02-15,0.08014247551202147,0.04192724975803075,0.03821522575399072
14320,2017,2018,0.9804,214206,203967,stayed,True,True,True,USIM5,2019-02-15,2019-02-15,2019-02-19,-0.019148936170212738,0.001366201043394355,-0.020515137213607093
14320,2018,2019,0.9887,203967,204148,stayed,True,True,True,USIM5,2020-02-14,2020-02-14,2020-02-18,-0.013131313131313216,0.005215914922710008,-0.018347228054023224
14320,2019,2020,0.9777,204148,200997,stayed,True,True,True,USIM5,2021-02-12,2021-02-12,2021-02-18,0.0451021846370685,-0.0019237416259673124,0.04702592626303581
14320,2020,2021,0.936,200997,202683,stayed,True,True,True,USIM5,2022-02-11,2022-02-11,2022-02-15,0.003863490019317517,0.011057532929449776,-0.007194042910132259
14320,2021,2022,0.9691,202683,220649,stayed,True,True,True,USIM5,2023-02-10,2023-02-10,2023-02-14,-0.02997275204359673,-0.0021230909784177854,-0.027849661065178943
14320,2022,2023,0.9752,220649,217795,stayed,True,True,True,USIM5,2025-01-16,2025-01-16,2025-01-20,0.04132231404958686,0.013370903608505014,0.027951410441081848
14320,2023,2024,0.9891,217795,215483,stayed,True,True,True,USIM5,2025-02-14,2025-02-14,2025-02-18,0.010033444816053505,0.0024420795767603476,0.007591365239293157
14443,2018,2019,0.9855,282037,242449,stayed,True,True,True,SBSP3,2020-03-27,2020-03-27,2020-03-31,-0.023958073440905503,-0.005570295461806762,-0.01838777797909874
14443,2021,2022,0.9884,223209,218593,stayed,True,True,True,SBSP3,2023-03-23,2023-03-23,2023-03-27,0.008919311383510875,0.017810631950504918,-0.008891320566994043
14443,2022,2023,0.9849,218593,244365,stayed,True,True,True,SBSP3,2024-03-21,2024-03-21,2024-03-25,0.028194056697837366,-0.0095748571476727,0.037768913845510066
14443,2023,2024,0.955,244365,261497,stayed,True,True,True,SBSP3,2025-03-27,2025-03-27,2025-03-31,-0.019325065191465596,-0.021699114711929424,0.002374049520463828
14460,2015,2016,0.8731,206885,213748,stayed,True,True,True,CYRE3,2017-03-23,2017-03-23,2017-03-27,-0.0038461538461538325,0.012239734465760543,-0.016085888311914376
14460,2016,2017,0.9823,213748,181084,stayed,True,True,True,CYRE3,2018-03-22,2018-03-22,2018-03-26,0.011228533685600839,0.003774778843118387,0.007453754842482452
14460,2017,2018,0.9503,181084,189467,stayed,True,True,True,CYRE3,2019-03-27,2019-03-27,2019-03-29,0.05035506778566812,0.03820478894143209,0.012150278844236029
14460,2018,2019,0.9483,189467,193192,stayed,True,True,True,CYRE3,2020-03-19,2020-03-19,2020-03-23,-0.11836734693877549,-0.06969200284494192,-0.04867534409383356
14460,2019,2020,0.9463,193192,229511,stayed,True,True,True,CYRE3,2021-03-18,2021-03-18,2021-03-22,0.030864197530864113,0.0012490047714368568,0.029615192759427256
