cd_cvm,year_curr,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
17329,2016,0.0,1.0,0.055047384163048996,0.055047384163048996
17329,2017,0.8999,0.1001,0.4890307866787986,0.4890307866787986
17329,2018,0.06610000000000005,0.9339,-0.16077800797942432,-0.16077800797942432
17329,2019,0.9177,0.0823,-0.23314450763373706,-0.23314450763373706
17329,2021,0.8088,0.1912,0.04435955383518597,0.04435955383518597
17329,2022,0.8855999999999999,0.1144,-0.17451604560374756,-0.17451604560374756
17329,2023,0.9303,0.0697,-0.06484100814520477,-0.06484100814520477
17329,2024,0.5849,0.4151,0.15136491117783546,0.15136491117783546
17450,2014,0.23429999999999995,0.7657,0.9619176511042047,0.9619176511042047
17450,2015,0.7829,0.2171,1.1545429185269422,1.1545429185269422
17450,2016,0.7545999999999999,0.2454,-0.5714390330891884,-0.5714390330891884
17450,2017,0.21409999999999996,0.7859,0.12403149734397378,0.12403149734397378
17450,2018,0.17869999999999997,0.8213,-0.38104795918945533,-0.38104795918945533
17450,2019,0.8496,0.1504,-0.2955616852599744,-0.2955616852599744
17450,2020,0.9224,0.0776,0.6329218413922082,0.6329218413922082
17450,2024,0.0383,0.9617,-0.3243909187450369,-0.3243909187450369
17671,2014,0.16790000000000005,0.8321,-0.2616982534622353,-0.2616982534622353
17671,2015,0.2047,0.7953,-0.1897546366347148,-0.1897546366347148
17671,2016,0.24329999999999996,0.7567,0.040707947463441974,0.040707947463441974
17671,2017,0.34140000000000004,0.6586,-0.10159965347168676,-0.10159965347168676
17671,2018,0.08220000000000005,0.9178,0.22609870659195552,0.22609870659195552
17671,2019,0.27780000000000005,0.7222,-0.24781114925708936,-0.24781114925708936
17671,2020,0.1442,0.8558,0.24674870640516944,0.24674870640516944
17671,2021,0.28580000000000005,0.7142,-0.2819983771704171,-0.2819983771704171
17671,2024,0.18969999999999998,0.8103,0.15222486132542334,0.15222486132542334
17892,2016,0.19069999999999998,0.8093,2.3296387762925646,2.3296387762925646
17892,2017,0.26659999999999995,0.7334,0.12858956584672798,0.12858956584672798
17892,2018,0.3327,0.6673,0.06130230174547213,0.06130230174547213
17892,2019,0.1674,0.8326,-0.08762075944011383,-0.08762075944011383
17892,2020,0.17369999999999997,0.8263,0.020563554648061366,0.020563554648061366
17892,2021,0.040100000000000025,0.9599,0.28074318292759437,0.28074318292759437
17892,2022,0.04139999999999999,0.9586,0.5056872487968007,0.5056872487968007
17892,2023,0.16769999999999996,0.8323,-0.3139081328040877,-0.3139081328040877
17973,2014,0.4537,0.5463,0.6623436779080203,0.6623436779080203
17973,2015,0.3198,0.6802,-0.2322131663164133,-0.2322131663164133
17973,2016,0.16679999999999995,0.8332,-0.34692918868052625,-0.34692918868052625
17973,2017,0.028100000000000014,0.9719,-0.15494712296623847,-0.15494712296623847
17973,2018,0.5627,0.4373,-0.045832738761639735,-0.045832738761639735
