cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,event_date,CD_CVM,ticker,pre_date,pre_eps,post_date,post_eps,revision_raw,revision_pct
4170,VALE,stayed,2016,2017,0.9413,8641,9102,font_heading,font_heading,2018-02-27,4170.0,VALE3,2017-12-31,0.896,2018-03-31,1.25,0.354,0.3950892857142857
4170,VALE,stayed,2017,2018,0.772,9102,4664,font_heading,font_heading,2019-04-18,4170.0,VALE3,2019-03-31,1.566,2019-06-30,2.065,0.4989999999999999,0.3186462324393358
4170,VALE,stayed,2018,2019,0.3278,4664,16358,font_heading,regex_only,2020-03-02,4170.0,VALE3,2019-12-31,2.06,2020-03-31,1.418,-0.6420000000000001,-0.3116504854368933
4170,VALE,stayed,2019,2020,0.3021,16358,11224,regex_only,font_heading,2021-02-25,4170.0,VALE3,2020-12-31,5.034,2021-03-31,6.077777778,1.043777778,0.20734560548271752
4170,VALE,stayed,2020,2021,0.926,11224,12192,font_heading,font_heading,2022-02-24,4170.0,VALE3,2021-12-31,3.927272727,2022-03-31,4.048888889,0.12161616199999958,0.030967078289187423
4170,VALE,stayed,2021,2022,0.4325,12192,2673,font_heading,font_heading,2023-02-16,4170.0,VALE3,2022-12-31,3.235555556,2023-03-31,2.999,-0.2365555559999999,-0.07311126386358359
4170,VALE,stayed,2022,2023,0.0575,2673,554,font_heading,font_heading,2024-02-22,4170.0,VALE3,2023-12-31,4.771111111,2024-03-31,2.133333333,-2.637777778,-0.5528644620995078
4170,VALE,stayed,2023,2024,1.0,554,554,font_heading,font_heading,2025-03-17,4170.0,VALE3,2024-12-31,2.713333333,2025-03-31,2.265,-0.4483333329999999,-0.165233415130864
4820,BRASKEM,stayed,2017,2018,0.3192,6565,776,regex_only,regex_only,2019-03-13,4820.0,BRKM5,2018-12-31,-0.75,2019-03-31,0.36,1.1099999999999999,1.4799999999999998
4820,BRASKEM,stayed,2018,2019,0.3287,776,5403,regex_only,regex_only,2020-04-03,4820.0,BRKM5,2020-03-31,-4.445,2020-06-30,-2.145,2.3000000000000003,0.5174353205849269
4820,BRASKEM,stayed,2019,2020,0.2169,5403,1044,regex_only,regex_only,2021-03-10,4820.0,BRKM5,2020-12-31,4.27,2021-03-31,1.355,-2.9149999999999996,-0.6826697892271663
