cd_cvm,year_curr,ticker,window_start,window_end,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
18465,2013,UGPA3,2014-02-19,2015-02-27,0.0706,0.9294,-0.17231648465303995,-0.17231648465303995
18465,2014,UGPA3,2015-02-25,2016-03-07,0.0756,0.9244,0.19280327484795112,0.19280327484795112
18465,2015,UGPA3,2016-02-17,2017-02-16,0.07469999999999999,0.9253,-0.339029402092218,-0.339029402092218
18465,2016,UGPA3,2017-02-22,2018-03-06,0.11219999999999997,0.8878,0.01293729732555704,0.01293729732555704
18465,2017,UGPA3,2018-02-21,2019-02-28,0.09230000000000005,0.9077,-0.2959184704872546,-0.2959184704872546
18465,2018,UGPA3,2019-02-20,2020-02-27,0.16620000000000001,0.8338,0.1596208056673074,0.1596208056673074
18465,2019,UGPA3,2020-03-16,2021-03-23,0.12229999999999996,0.8777,0.07425873061759125,0.07425873061759125
18465,2020,UGPA3,2021-02-25,2022-03-02,0.14490000000000003,0.8551,-0.22514214663549625,-0.22514214663549625
18465,2021,UGPA3,2022-02-25,2023-03-02,0.1028,0.8972,0.3125897873002961,0.3125897873002961
18465,2022,UGPA3,2023-02-15,2024-02-23,0.2005,0.7995,0.7013498924544428,0.7013498924544428
18465,2023,UGPA3,2024-02-28,2025-02-27,0.06110000000000004,0.9389,-0.6944995486761787,-0.6944995486761787
18465,2024,UGPA3,2025-02-26,2026-03-04,0.08340000000000003,0.9166,0.5894006147527133,0.5894006147527133
18627,2018,SAPR11,2019-02-21,2020-02-28,0.05469999999999997,0.9453,0.01778215669740102,0.01778215669740102
18627,2019,SAPR11,2020-02-06,2021-02-12,0.06599999999999995,0.934,-0.4261162456619817,-0.4261162456619817
18627,2020,SAPR11,2021-02-11,2022-02-16,0.06740000000000002,0.9326,0.13075474993113145,0.13075474993113145
18627,2021,SAPR11,2022-02-24,2023-03-01,0.3024,0.6976,-0.0025485531254886284,-0.0025485531254886284
18627,2022,SAPR11,2023-02-16,2024-02-26,0.1735,0.8265,0.2168093427932416,0.2168093427932416
18627,2023,SAPR11,2024-02-08,2025-02-11,0.14680000000000004,0.8532,-0.2697426339492688,-0.2697426339492688
18627,2024,SAPR11,2025-02-20,2026-02-26,0.09799999999999998,0.902,0.2702764080212434,0.2702764080212434
18660,2011,CPFE3,2012-03-12,2013-03-21,0.13249999999999995,0.8675,-0.40313608811739154,-0.40313608811739154
18660,2012,CPFE3,2013-03-13,2014-03-18,0.09950000000000003,0.9005,-0.0286179886881176,-0.0286179886881176
18660,2013,CPFE3,2014-03-27,2015-04-02,0.09509999999999996,0.9049,0.1472517211403095,0.1472517211403095
18660,2014,CPFE3,2015-03-26,2016-04-06,0.08950000000000002,0.9105,0.11240400647707771,0.11240400647707771
18660,2015,CPFE3,2016-03-21,2017-03-23,0.1099,0.8901,-0.06786188505198953,-0.06786188505198953
18660,2016,CPFE3,2017-03-23,2018-04-03,0.15590000000000004,0.8441,-0.26535018058654514,-0.26535018058654514
18660,2017,CPFE3,2018-03-27,2019-04-05,0.08320000000000005,0.9168,0.3612742493975296,0.3612742493975296
18660,2018,CPFE3,2019-03-28,2020-04-01,0.06889999999999996,0.9311,-0.3044840347859282,-0.3044840347859282
18660,2019,CPFE3,2020-03-09,2021-03-16,0.11639999999999995,0.8836,-0.32348231832568874,-0.32348231832568874
18660,2020,CPFE3,2021-03-31,2022-04-05,0.12450000000000006,0.8755,0.24167347396174876,0.24167347396174876
18660,2021,CPFE3,2022-03-17,2023-03-20,0.0847,0.9153,-0.08064024088130595,-0.08064024088130595
18660,2022,CPFE3,2023-03-16,2024-03-21,0.06769999999999998,0.9323,-0.2441399980194906,-0.2441399980194906
