cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok
16306,2017,2018,0.9972,292066,306559,dropped_or_delisted,True,True,True
16306,2018,2019,0.1023,306559,50422,dropped_or_delisted,True,True,True
16306,2019,2020,0.7452,50422,206373,dropped_or_delisted,True,True,True
16306,2022,2023,0.9864,154882,159421,dropped_or_delisted,True,True,True
16306,2023,2024,0.984,159421,200560,dropped_or_delisted,True,True,True
17329,2016,2017,0.9093,187641,214485,stayed,True,True,True
17329,2017,2018,0.9355,214485,226464,stayed,True,True,True
17329,2018,2019,0.9447,226464,274580,stayed,True,True,True
17329,2019,2020,0.9322,274580,311859,stayed,True,True,True
17329,2020,2021,0.9692,311859,317252,stayed,True,True,True
17329,2023,2024,0.9455,296163,304430,stayed,True,True,True
17450,2018,2019,0.435,162549,49476,stayed,True,True,True
17450,2019,2020,0.4361,49476,173524,stayed,True,True,True
17450,2022,2023,0.9863,176536,182700,stayed,True,True,True
17671,2015,2016,0.9404,286341,271106,stayed,True,True,True
17671,2016,2017,0.9096,271106,243541,stayed,True,True,True
17671,2017,2018,0.9044,243541,221548,stayed,True,True,True
17671,2018,2019,0.9299,221548,204525,stayed,True,True,True
17671,2019,2020,0.8619,204525,308808,stayed,True,True,True
17671,2022,2023,0.9017,353605,362155,stayed,True,True,True
17892,2015,2016,0.9384,169631,164826,dropped_or_delisted,True,True,True
17892,2016,2017,0.9064,164826,193960,dropped_or_delisted,True,True,True
17892,2017,2018,0.823,193960,197219,dropped_or_delisted,True,True,True
17892,2018,2019,0.9847,197219,209175,dropped_or_delisted,True,True,True
17892,2019,2020,0.9797,209175,222689,dropped_or_delisted,True,True,True
17892,2020,2021,0.9741,222689,231887,dropped_or_delisted,True,True,True
17892,2021,2022,0.8717,231887,222476,dropped_or_delisted,True,True,True
17892,2022,2023,0.9467,222476,196734,dropped_or_delisted,True,True,True
17892,2023,2024,0.9412,196734,206047,dropped_or_delisted,True,True,True
17914,2019,2020,0.9893,84725,90205,dropped_or_delisted,True,True,True
17973,2015,2016,0.9269,147610,129151,stayed,True,True,True
17973,2016,2017,0.9534,129151,141798,stayed,True,True,True
17973,2017,2018,0.8588,141798,191150,stayed,True,True,True
17973,2018,2019,0.5455,191150,214057,stayed,True,True,True
17973,2019,2020,0.8961,214057,267371,stayed,True,True,True
17973,2020,2021,0.9657,267371,230733,stayed,True,True,True
17973,2021,2022,0.958,230733,216974,stayed,True,True,True
17973,2022,2023,0.9741,216974,237067,stayed,True,True,True
17973,2023,2024,0.9728,237067,226329,stayed,True,True,True
18465,2019,2020,0.9684,238178,262783,stayed,True,True,True
18465,2022,2023,0.9442,261976,247201,stayed,True,True,True
18465,2023,2024,0.9453,247201,195504,stayed,True,True,True
18660,2015,2016,0.9557,197873,204333,stayed,True,True,True
18660,2016,2017,0.9632,204333,193962,stayed,True,True,True
18660,2017,2018,0.9387,193962,187251,stayed,True,True,True
18660,2018,2019,0.9593,187251,179949,stayed,True,True,True
18660,2019,2020,0.9497,179949,203980,stayed,True,True,True
18660,2020,2021,0.9231,203980,224367,stayed,True,True,True
18660,2021,2022,0.9068,224367,230608,stayed,True,True,True
18660,2022,2023,0.8542,230608,218410,stayed,True,True,True
18660,2023,2024,0.9631,218410,217483,stayed,True,True,True
18724,2015,2016,0.6122,17727,69869,stayed,True,True,True
18724,2016,2017,0.9367,69869,90033,stayed,True,True,True
18724,2017,2018,0.8036,90033,92344,stayed,True,True,True
18724,2018,2019,0.8158,92344,76006,stayed,True,True,True
18724,2019,2020,0.8867,76006,69329,stayed,True,True,True
18724,2020,2021,0.9452,69329,64339,stayed,True,True,True
18724,2021,2022,0.9589,64339,64426,stayed,True,True,True
18724,2022,2023,0.5236,64426,12052,stayed,True,True,True
18724,2023,2024,0.9308,12052,11290,stayed,True,True,True
18821,2015,2016,0.979,304976,325975,stayed,True,True,True
19445,2015,2016,0.941,168385,162910,stayed,True,True,True
19445,2016,2017,0.9347,162910,164794,stayed,True,True,True
19445,2017,2018,0.9258,164794,187088,stayed,True,True,True
19445,2018,2019,0.9016,187088,222334,stayed,True,True,True
19445,2019,2020,0.9399,222334,204242,stayed,True,True,True
19445,2020,2021,0.9455,204242,210979,stayed,True,True,True
19445,2021,2022,0.9606,210979,196766,stayed,True,True,True
19453,2015,2016,0.9923,197825,215135,dropped_or_delisted,True,True,True
19453,2016,2017,0.8193,215135,196690,dropped_or_delisted,True,True,True
19453,2017,2018,0.945,196690,219762,dropped_or_delisted,True,True,True
19453,2018,2019,0.8833,219762,248648,dropped_or_delisted,True,True,True
19453,2019,2020,0.9559,248648,233061,dropped_or_delisted,True,True,True
19453,2022,2023,0.8965,275777,245155,dropped_or_delisted,True,True,True
19453,2023,2024,0.9217,245155,277132,dropped_or_delisted,True,True,True
19550,2017,2018,0.9648,255327,259633,stayed,True,True,True
19550,2018,2019,0.9384,259633,254576,stayed,True,True,True
19550,2019,2020,0.8813,254576,279718,stayed,True,True,True
19550,2020,2021,0.9817,279718,280814,stayed,True,True,True
19550,2021,2022,0.9842,280814,263936,stayed,True,True,True
19550,2022,2024,0.9189,263936,281121,stayed,True,True,True
19569,2015,2016,0.7615,149530,149472,dropped_or_delisted,True,True,True
19569,2016,2017,0.9474,149472,164907,dropped_or_delisted,True,True,True
19569,2017,2018,0.9268,164907,185512,dropped_or_delisted,True,True,True
19569,2018,2019,0.9379,185512,193337,dropped_or_delisted,True,True,True
19569,2019,2020,0.931,193337,202699,dropped_or_delisted,True,True,True
19569,2023,2024,0.9094,197717,209006,dropped_or_delisted,True,True,True
19623,2015,2016,0.7347,165243,180133,dropped_or_delisted,True,True,True
19623,2016,2017,0.8344,180133,218100,dropped_or_delisted,True,True,True
19623,2023,2024,0.7946,179270,182936,dropped_or_delisted,True,True,True
19739,2019,2020,0.5169,71966,193243,stayed,True,True,True
19739,2023,2024,0.968,260488,251631,stayed,True,True,True
19836,2015,2016,0.9749,207365,214117,stayed,True,True,True
19836,2016,2017,0.6343,214117,93932,stayed,True,True,True
19836,2017,2018,0.6476,93932,179425,stayed,True,True,True
19836,2018,2019,0.9645,179425,193087,stayed,True,True,True
19879,2018,2019,0.9851,291970,286237,dropped_or_delisted,True,True,True
19879,2021,2022,0.9878,238176,240364,dropped_or_delisted,True,True,True
19879,2022,2023,0.9797,240364,264764,dropped_or_delisted,True,True,True
19879,2023,2024,0.961,264764,379991,dropped_or_delisted,True,True,True
19909,2021,2022,0.9545,180865,189247,dropped_or_delisted,True,True,True
19909,2022,2023,0.8872,189247,212084,dropped_or_delisted,True,True,True
19909,2023,2024,0.7841,212084,210623,dropped_or_delisted,True,True,True
19925,2015,2016,0.9565,185705,195355,dropped_or_delisted,True,True,True
19925,2016,2017,0.9106,195355,171812,dropped_or_delisted,True,True,True
19925,2017,2018,0.886,171812,175512,dropped_or_delisted,True,True,True
19925,2018,2019,0.9707,175512,187308,dropped_or_delisted,True,True,True
19925,2019,2020,0.9533,187308,199594,dropped_or_delisted,True,True,True
19925,2020,2021,0.9425,199594,209941,dropped_or_delisted,True,True,True
19925,2021,2022,0.9283,209941,214302,dropped_or_delisted,True,True,True
19992,2015,2016,0.9514,109906,116359,stayed,True,True,True
19992,2016,2017,0.9596,116359,116957,stayed,True,True,True
19992,2017,2018,0.9584,116957,128921,stayed,True,True,True
19992,2018,2019,0.8989,128921,123534,stayed,True,True,True
19992,2019,2020,0.8872,123534,213703,stayed,True,True,True
19992,2020,2021,0.9359,213703,181205,stayed,True,True,True
19992,2021,2022,0.818,181205,172361,stayed,True,True,True
19992,2022,2023,0.9534,172361,170859,stayed,True,True,True
19992,2023,2024,0.9128,170859,168984,stayed,True,True,True
20010,2015,2016,0.7845,278708,284258,stayed,True,True,True
20010,2016,2017,0.9496,284258,325960,stayed,True,True,True
20010,2017,2018,0.8742,325960,340185,stayed,True,True,True
20087,2016,2017,0.9963,322208,316644,stayed,True,True,True
20087,2023,2024,0.9868,257269,269817,stayed,True,True,True
20257,2017,2018,0.9466,227939,248703,stayed,True,True,True
20257,2018,2019,0.9426,248703,263475,stayed,True,True,True
20257,2019,2020,0.9076,263475,254827,stayed,True,True,True
20257,2020,2021,0.933,254827,224490,stayed,True,True,True
20257,2021,2022,0.9642,224490,224521,stayed,True,True,True
20257,2022,2023,0.9649,224521,228647,stayed,True,True,True
20257,2023,2024,0.9616,228647,241460,stayed,True,True,True
20362,2018,2019,0.0619,204393,248272,dropped_or_delisted,True,True,True
20494,2015,2016,0.9907,146982,149845,dropped_or_delisted,True,True,True
20494,2016,2017,0.9496,149845,164337,dropped_or_delisted,True,True,True
20494,2017,2018,0.951,164337,172716,dropped_or_delisted,True,True,True
20494,2018,2019,0.6071,172716,36811,dropped_or_delisted,True,True,True
