cd_cvm,name,group,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cosine_similarity_expanding
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2017,2018,0.8973,8070,8590,font_heading,font_heading,0.9102
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2018,2019,0.1382,8590,6367,font_heading,regex_only,0.1488
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2019,2020,0.3936,6367,1093,regex_only,regex_only,0.3941
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2020,2021,0.0721,1093,6845,regex_only,font_heading,0.0736
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2021,2022,0.9388,6845,7065,font_heading,font_heading,0.9402
14826,Companhia Brasileira de Distribuição (GPA),dropped_or_delisted,2022,2024,0.1266,7065,14904,font_heading,regex_only,0.1267
15253,ENERGISA,stayed,2015,2016,0.9725,34472,34892,font_heading,font_heading,0.9742
15253,ENERGISA,stayed,2016,2017,0.9397,34892,39827,font_heading,font_heading,0.9417
15253,ENERGISA,stayed,2017,2018,0.9392,39827,34264,font_heading,font_heading,0.9374
15253,ENERGISA,stayed,2018,2019,0.4528,34264,12980,font_heading,font_heading,0.4566
15253,ENERGISA,stayed,2019,2020,0.7624,12980,16257,font_heading,font_heading,0.7615
15253,ENERGISA,stayed,2020,2021,0.9566,16257,16193,font_heading,font_heading,0.9605
15253,ENERGISA,stayed,2021,2022,0.9382,16193,19696,font_heading,font_heading,0.9431
15253,ENERGISA,stayed,2022,2023,0.8261,19696,18983,font_heading,font_heading,0.8272
15253,ENERGISA,stayed,2023,2024,0.9295,18983,17850,font_heading,font_heading,0.9294
16101,Gafisa S.A.,dropped_or_delisted,2015,2016,0.8999,9999,9460,font_heading,font_heading,0.9015
16101,Gafisa S.A.,dropped_or_delisted,2016,2017,0.9183,9460,9321,font_heading,font_heading,0.919
16101,Gafisa S.A.,dropped_or_delisted,2017,2018,0.9154,9321,10509,font_heading,font_heading,0.9156
16101,Gafisa S.A.,dropped_or_delisted,2018,2019,0.9202,10509,7976,font_heading,font_heading,0.9255
16101,Gafisa S.A.,dropped_or_delisted,2019,2020,0.9196,7976,9382,font_heading,font_heading,0.9242
16101,Gafisa S.A.,dropped_or_delisted,2020,2021,0.9174,9382,9858,font_heading,font_heading,0.9213
16101,Gafisa S.A.,dropped_or_delisted,2021,2022,0.8848,9858,8175,font_heading,font_heading,0.8869
16101,Gafisa S.A.,dropped_or_delisted,2022,2023,0.8787,8175,8508,font_heading,font_heading,0.8785
16101,Gafisa S.A.,dropped_or_delisted,2023,2024,0.0461,8508,150,font_heading,regex_only,0.0461
16292,BRF S.A.,dropped_or_delisted,2015,2016,0.0417,14058,689,font_heading,regex_only,0.0472
16292,BRF S.A.,dropped_or_delisted,2016,2017,0.8646,689,1305,regex_only,regex_only,0.8624
16292,BRF S.A.,dropped_or_delisted,2017,2018,0.0558,1305,21724,regex_only,font_heading,0.056
16292,BRF S.A.,dropped_or_delisted,2018,2019,0.1162,21724,578,font_heading,font_heading,0.1181
16292,BRF S.A.,dropped_or_delisted,2019,2020,0.0688,578,4833,font_heading,regex_only,0.072
16292,BRF S.A.,dropped_or_delisted,2020,2021,0.8263,4833,5457,regex_only,regex_only,0.8399
16292,BRF S.A.,dropped_or_delisted,2021,2022,0.8387,5457,4879,regex_only,regex_only,0.8394
16292,BRF S.A.,dropped_or_delisted,2022,2023,0.0866,4879,7521,regex_only,font_heading,0.0867
16292,BRF S.A.,dropped_or_delisted,2023,2024,0.9445,7521,7917,font_heading,font_heading,0.9443
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2015,2016,0.2014,7447,2722,font_heading,font_heading,0.1954
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2016,2017,0.1027,2722,1551,font_heading,font_heading,0.0985
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2017,2018,0.1777,1551,4872,font_heading,regex_only,0.1707
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2018,2020,0.2024,4872,682,regex_only,font_heading,0.1909
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2020,2021,0.073,682,6777,font_heading,font_heading,0.0735
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2021,2022,0.3716,6777,592,font_heading,font_heading,0.3784
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2022,2023,0.7235,592,532,font_heading,font_heading,0.7212
16306,Rossi Residencial S.A. - Em Recuperação Judicial,dropped_or_delisted,2023,2024,0.2457,532,4224,font_heading,font_heading,0.2457
17329,ENGIE BRASIL,stayed,2015,2016,0.035,20039,242,regex_only,font_heading,0.0355
17329,ENGIE BRASIL,stayed,2016,2017,0.1534,242,3983,font_heading,font_heading,0.1585
17329,ENGIE BRASIL,stayed,2017,2018,0.9413,3983,4181,font_heading,font_heading,0.9395
17329,ENGIE BRASIL,stayed,2018,2019,0.1397,4181,325,font_heading,font_heading,0.1359
17329,ENGIE BRASIL,stayed,2019,2020,0.9028,325,421,font_heading,font_heading,0.9011
17329,ENGIE BRASIL,stayed,2020,2021,0.2093,421,25142,font_heading,font_heading,0.2139
