CD_CVM,board_size,pct_female_board,pct_black_brown_board,exec_size,pct_female_exec,pct_black_brown_exec,year,has_black_brown_board,has_black_brown_exec,despesas_financeiras,cost_of_debt_proxy,return_volatility,ln_total_assets,leverage,roa,past_12m_return
20605,6,0.0,0.0,6,0.3333333333333333,0.0,2023,0,0,80826.0,0.01380431908871614,0.4017458590360544,16.2204779461169,0.5285329058701476,0.0449414965730941,0.2241758241758242
20745,6,0.16666666666666666,0.0,4,0.0,0.0,2023,0,0,1220367.0,0.1149722095874568,0.2366570044324002,16.579078590850294,0.6694146774806106,0.059154969016136,-0.0995215311483826
20770,6,0.0,0.0,7,0.0,0.0,2023,0,0,44102.0,0.03755752598249779,0.4525333411884328,15.586950986577742,0.1997259545157974,0.0418579304123132,0.4473684208195372
20788,7,0.14285714285714285,0.0,4,0.0,0.0,2023,0,0,4231051.0,0.039891188783732316,0.4241318311147433,18.690361531116835,0.809935442071711,-0.0276526750836068,0.2603763078255776
20915,7,0.2857142857142857,0.0,7,0.14285714285714285,0.2857142857142857,2023,0,1,272408.0,0.015559894122713922,0.5608845240278996,17.03725035773832,0.6982796780210614,-0.0007354506686462,0.4993324432576769
20931,10,0.1,0.3,6,0.0,0.0,2023,1,0,1885459.0,0.0674954619009455,0.45161421132318175,17.168712849302004,0.9769340963890732,0.0138326526464115,-0.3956310679611651
20982,7,0.2857142857142857,0.0,6,0.0,0.0,2023,0,0,344091.0,0.07475484072522565,0.2776399712530761,16.261063232386647,0.3989734178711761,0.0884598008966688,0.4041501976284587
20990,7,0.14285714285714285,0.0,2,0.5,0.0,2023,0,0,4458000.0,0.07965692843741624,1.4104352473801445,17.1155976382573,2.0639867232159324,-0.0837912594504886,-0.8761904761904762
21016,9,0.1111111111111111,0.0,4,0.25,0.0,2023,0,0,656541.0,0.10537514499212022,0.6464309952248161,16.044190304428486,0.6708421641079134,0.0166513487451435,1.332986472424558
21091,8,0.125,0.0,7,0.2857142857142857,0.0,2023,0,0,892434.0,0.07829389675653307,0.47510232538634184,16.701460944877947,0.6360567572799357,0.0452702703833818,0.1915436242000521
21350,7,0.2857142857142857,0.0,7,0.14285714285714285,0.0,2023,0,0,251118.0,0.04598378469045664,0.36587284467713876,15.839914699569205,0.7212495961882815,0.0510958188746946,0.5602787456836431
21431,9,0.3333333333333333,0.0,5,0.2,0.0,2023,0,0,1371031.0,0.10553797826444063,0.2943388845631396,17.014540795413524,0.5300505929494327,0.0673453331016337,-0.1590214067278287
21881,10,0.2,0.0,4,0.25,0.0,2023,0,0,452934.0,0.07001718066972148,0.29343877041454886,16.26478726672016,0.5586283139987952,0.0363406012866356,0.21578947352814
22187,8,0.125,0.0,3,0.0,0.0,2023,0,0,38473.0,0.0026656916552827573,0.370563985440178,17.158758577775437,0.5097907762273598,0.1829648349266636,0.3026874115983025
22349,5,0.4,0.0,3,0.0,0.0,2023,0,0,69552.0,0.02282784753208689,0.4389435801335729,15.60324594140873,0.5098483844452655,0.0667134210991341,-0.1273833671399594
22357,9,0.2222222222222222,0.0,10,0.3,0.0,2023,0,0,411373.0,0.03276733355567304,0.2995729774461177,17.135465164938214,0.4538963765806509,0.1263204743322223,0.6687617850408549
22470,7,0.42857142857142855,0.0,6,0.16666666666666666,0.0,2023,0,0,2419081.0,0.08687813151687622,0.7514854645460017,17.438652559175765,0.7434116457460882,-0.0261407622098233,-0.0886075949423521
22691,3,0.0,0.0,4,0.0,0.0,2023,0,0,1201406.0,0.22326916157960935,,16.82491212952157,0.2653961134807474,0.0355743844111911,
23264,11,0.18181818181818182,0.0,14,0.21428571428571427,0.0,2023,0,0,4016885.0,0.07651161285059327,0.22536148383651225,18.703180408395365,0.3957983652394184,0.1127864358689728,-0.0754208754208753
23272,7,0.14285714285714285,0.14285714285714285,3,0.0,0.0,2023,1,0,158811.0,0.06296466927600404,0.4509833159069676,15.64880296892971,0.4032690350622637,0.0311714308783593,0.5713301171605789
23310,7,0.0,0.0,2,0.0,0.0,2023,0,0,291479.0,0.08515494788813661,0.7960336721492198,15.20949626470682,0.8491747715885647,-0.1133448643027187,-0.0437158469945355
24112,12,0.25,0.0,4,0.0,0.25,2023,0,1,603046.0,0.014405998439063107,,16.837539474037687,2.0387153617638885,-0.1159336945388498,
24171,5,0.2,0.2,3,0.0,0.0,2023,1,0,3281000.0,0.045608084627253645,,18.345590751312788,0.7754888644546494,-0.0068882995925231,
24260,8,0.125,0.0,7,0.14285714285714285,0.0,2023,0,0,448919.0,0.04914520627906618,0.4445192695097002,16.470875408498866,0.6419135194172216,0.073377583427107,1.1423868309121883
24295,8,0.25,0.0,9,0.1111111111111111,0.0,2023,0,0,2034000.0,0.0732972972972973,0.36591883336553443,17.587834619032844,0.6382097927830547,0.1096110945010464,0.5971929823068651
24392,9,0.1111111111111111,0.2222222222222222,4,0.0,0.0,2023,1,0,1125324.0,0.04702368918777408,0.8880563172039879,18.1085166850603,0.3269881478249742,-0.0103490763176554,-0.0305010893246185
