CD_CVM,total,pct_fem,pct_negro,total_r,year
2453,9,0.0,0.1111111111111111,9.0,2024
2577,3,0.0,0.0,3.0,2024
3980,7,0.14285714285714285,0.0,7.0,2024
4030,5,0.0,0.2,5.0,2024
4170,13,0.15384615384615385,0.15384615384615385,13.0,2024
4820,11,0.09090909090909091,0.09090909090909091,11.0,2024
5258,10,0.3,0.0,10.0,2024
5410,7,0.14285714285714285,0.14285714285714285,7.0,2024
6505,5,0.2,,0.0,2024
8133,8,0.375,0.0,8.0,2024
8451,7,0.14285714285714285,0.0,7.0,2024
8656,5,0.0,0.0,5.0,2024
8672,8,0.25,0.0,8.0,2024
9512,11,0.18181818181818182,0.18181818181818182,11.0,2024
10456,8,0.125,0.0,8.0,2024
11312,6,0.0,,,2024
12653,6,0.16666666666666666,0.0,6.0,2024
13986,9,0.2222222222222222,0.0,9.0,2024
14176,6,0.3333333333333333,0.0,5.0,2024
14311,9,0.1111111111111111,0.1111111111111111,9.0,2024
14320,8,0.125,0.0,6.0,2024
14443,9,0.2222222222222222,0.0,9.0,2024
14460,8,0.125,0.125,8.0,2024
14826,9,0.2222222222222222,0.1111111111111111,9.0,2024
15253,7,0.14285714285714285,0.0,7.0,2024
16101,5,0.0,0.0,5.0,2024
16292,9,0.2222222222222222,0.0,6.0,2024
16306,4,0.0,0.0,4.0,2024
17329,9,0.2222222222222222,0.0,9.0,2024
17450,10,0.3,0.1,10.0,2024
17671,12,0.3333333333333333,0.08333333333333333,12.0,2024
17892,7,0.2857142857142857,,0.0,2024
17973,6,0.3333333333333333,0.0,6.0,2024
18376,9,0.0,0.25,8.0,2024
18465,9,0.2222222222222222,0.1111111111111111,9.0,2024
18627,9,0.2222222222222222,0.0,9.0,2024
18660,6,0.16666666666666666,0.0,4.0,2024
18724,8,0.125,0.0,4.0,2024
18821,11,0.18181818181818182,0.0,11.0,2024
19445,7,0.14285714285714285,0.2857142857142857,7.0,2024
19453,9,0.1111111111111111,0.0,9.0,2024
19550,3,0.0,0.0,3.0,2024
19569,9,0.1111111111111111,0.0,9.0,2024
19623,5,0.2,0.0,5.0,2024
19739,8,0.25,0.0,8.0,2024
19763,3,0.0,0.0,3.0,2024
19836,9,0.2222222222222222,0.0,9.0,2024
19879,9,0.0,0.0,3.0,2024
19909,3,0.3333333333333333,0.0,3.0,2024
19992,7,0.42857142857142855,0.0,7.0,2024
20010,5,0.2,0.0,5.0,2024
20087,11,0.18181818181818182,0.09090909090909091,11.0,2024
20257,8,0.125,0.0,8.0,2024
20362,9,0.1111111111111111,0.0,9.0,2024
20478,3,0.3333333333333333,0.0,3.0,2024
20494,3,0.0,0.0,3.0,2024
20516,7,0.14285714285714285,0.0,7.0,2024
20524,5,0.0,0.0,5.0,2024
20605,7,0.0,0.0,7.0,2024
20745,6,0.16666666666666666,0.0,6.0,2024
20770,7,0.14285714285714285,0.0,7.0,2024
20788,7,0.14285714285714285,0.0,7.0,2024
20915,8,0.25,0.0,8.0,2024
20931,10,0.1,0.3,10.0,2024
20982,6,0.16666666666666666,0.0,6.0,2024
20990,7,0.42857142857142855,0.0,7.0,2024
21016,9,0.2222222222222222,0.0,9.0,2024
21091,10,0.2,0.0,10.0,2024
21350,7,0.2857142857142857,0.0,7.0,2024
21431,9,0.3333333333333333,0.0,9.0,2024
21881,10,0.1,0.0,10.0,2024
22187,8,0.125,0.125,8.0,2024
22349,7,0.2857142857142857,0.0,5.0,2024
22357,9,0.2222222222222222,0.0,9.0,2024
22470,8,0.375,0.0,8.0,2024
22691,3,0.0,0.0,3.0,2024
23264,11,0.2727272727272727,0.0,11.0,2024
23272,8,0.125,0.125,8.0,2024
23310,5,0.0,0.0,5.0,2024
24112,12,0.25,0.0,12.0,2024
24171,7,0.5714285714285714,0.14285714285714285,7.0,2024
24260,8,0.125,0.0,8.0,2024
24295,7,0.0,0.0,7.0,2024
24392,9,0.1111111111111111,0.2222222222222222,9.0,2024
24716,5,0.2,0.0,5.0,2024
24783,8,0.25,0.0,8.0,2024
24805,5,0.4,0.0,5.0,2024
24821,7,0.14285714285714285,,0.0,2024
24848,5,0.4,0.0,5.0,2024
24910,8,0.25,0.0,8.0,2024
24929,10,0.3,0.0,10.0,2024
25011,6,0.0,0.0,6.0,2024
25100,6,0.16666666666666666,0.0,6.0,2024
25232,8,0.0,,0.0,2024
25291,7,0.14285714285714285,0.0,7.0,2024
25372,9,0.2222222222222222,0.1111111111111111,9.0,2024
25585,7,0.2857142857142857,0.0,7.0,2024
25780,7,0.14285714285714285,0.0,7.0,2024
25917,8,0.25,0.0,8.0,2024
26620,8,0.375,0.0,8.0,2024
27707,2,0.0,0.0,2.0,2024
