CD_CVM,QUARTER_LABEL,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,DT_REFER,error
4820,2023Q2,129863,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2023Q2\\notas_explicativas.pdf', 'original_filename': 'Release 2T23 - 08082023_Slim.pdf', 'size_bytes': 2671473}]",BRASKEM S.A.,2023-06-30,
4820,2023Q3,131980,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2023Q3\\notas_explicativas.pdf', 'original_filename': 'Release 3T23 - 08112023_SLIM.pdf', 'size_bytes': 2119286}]",BRASKEM S.A.,2023-09-30,
4820,2024Q1,137259,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2024Q1\\notas_explicativas.pdf', 'original_filename': 'Braskem_1ITR2024.pdf', 'size_bytes': 2983904}]",BRASKEM S.A.,2024-03-31,
4820,2024Q2,140555,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2024Q2\\notas_explicativas.pdf', 'original_filename': 'Release 2T24_PT_07082024_slim.pdf', 'size_bytes': 2620680}]",BRASKEM S.A.,2024-06-30,
4820,2024Q3,142664,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2024Q3\\notas_explicativas.pdf', 'original_filename': 'Braskem_3ITR2024.pdf', 'size_bytes': 2598610}]",BRASKEM S.A.,2024-09-30,
2453,2015Q1,47525,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2015Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00129101930000000000000000.pdf.pdf', 'size_bytes': 2582078}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015-03-31,
2453,2015Q2,50137,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2015Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\empresasNet_Rede\\Temp\\files\\00123101930000000000000000.pdf.pdf', 'size_bytes': 3815217}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015-06-30,
2453,2015Q3,51894,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2015Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123701930000000000000000.pdf.pdf', 'size_bytes': 3121593}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015-09-30,
2453,2016Q1,64532,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2016Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00127001990000000000000000.pdf.pdf', 'size_bytes': 4030856}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016-03-31,
2453,2016Q2,64533,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2016Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00126401990000000000000000.pdf.pdf', 'size_bytes': 4135559}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016-06-30,
2453,2016Q3,64534,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2016Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00129901930000000000000000.pdf.pdf', 'size_bytes': 3645631}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016-09-30,
2453,2017Q1,65747,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2017Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00130901930000000000000000.pdf.pdf', 'size_bytes': 2936613}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017-03-31,
2453,2017Q2,67929,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2017Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125301930000000000000000.pdf.pdf', 'size_bytes': 3226814}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017-06-30,
2453,2017Q3,70139,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2017Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00126301930000000000000000.pdf.pdf', 'size_bytes': 3183014}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017-09-30,
2453,2018Q1,74836,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\002453\\2018Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00126701930000000000000000.pdf.pdf', 'size_bytes': 2999639}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018-03-31,
