CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
16292,BRF S.A.,2014,2014-12-31,2015-02-26,44337,history_extension
18821,CCR S.A.,2010,2010-12-31,2011-03-17,5330,history_extension
18821,CCR S.A.,2011,2011-12-31,2012-03-07,14776,history_extension
18821,CCR S.A.,2012,2012-12-31,2013-03-18,25009,history_extension
18821,CCR S.A.,2013,2013-12-31,2014-03-12,35137,history_extension
18821,CCR S.A.,2014,2014-12-31,2015-04-02,45811,history_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2010,2010-12-31,2011-03-30,5989,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2011,2011-12-31,2012-03-29,15591,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2012,2012-12-31,2013-02-21,24371,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2013,2013-12-31,2014-04-14,36243,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2014,2014-12-31,2015-03-31,45680,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2015,2015-12-31,2016-03-30,54780,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2016,2016-12-31,2017-03-28,63746,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2017,2017-12-31,2018-04-09,73218,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2018,2018-12-31,2019-04-01,81954,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2019,2019-12-31,2020-09-23,97154,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2020,2020-12-31,2021-07-06,106325,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2021,2021-12-31,2022-04-04,113512,ibx_extension
20184,CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO,2022,2022-12-31,2024-05-15,137545,ibx_extension
21776,CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A,2010,2010-12-31,2011-05-04,7124,ibx_extension
21776,CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A,2011,2011-12-31,2012-03-27,15483,ibx_extension
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2010,2010-12-31,2012-03-20,15148,history_extension
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2011,2011-12-31,2012-04-17,16247,history_extension
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2012,2012-12-31,2013-04-12,26089,history_extension
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2013,2013-12-31,2014-04-03,36071,history_extension
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2014,2014-12-31,2015-04-09,45901,history_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2010,2010-12-31,2011-03-30,6066,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2011,2011-12-31,2012-04-03,15958,ibx_extension
2461,CENTRAIS ELET DE SANTA CATARINA S.A.,2012,2012-12-31,2013-04-24,26277,ibx_extension
