cd_cvm,fiscal_year,debt_line_item,fonte
23825,2016,1274007.0,con
23540,2016,334283.0,ind
4146,2016,259626.0,con
21130,2016,319260.0,con
19720,2016,0.0,ind
20001,2016,0.0,ind
23957,2016,843.0,con
1309,2016,7955.0,ind
22659,2016,0.0,ind
13439,2016,45000.0,ind
21008,2016,1519676.0,con
23442,2016,487174.0,ind
6629,2016,304638.0,ind
20494,2016,2083200.0,con
8192,2016,50378.0,con
23981,2016,93898.0,ind
9040,2016,228367.0,con
23019,2016,0.0,ind
4693,2016,179180.0,ind
23701,2016,0.0,ind
13366,2016,52163549.0,con
13447,2016,0.0,ind
14869,2016,1297328.0,ind
20729,2016,648360.0,ind
11762,2016,675459.0,con
20630,2016,1350.0,con
15636,2016,3823067.0,ind
23264,2016,3599476.0,con
19852,2016,1435645.0,ind
20389,2016,0.0,ind
19860,2016,0.0,ind
23736,2016,66678.0,con
701,2016,0.0,ind
12530,2016,77898.0,con
24171,2016,4808000.0,con
19992,2016,822595.0,con
19658,2016,53307.0,con
20338,2016,755144.0,con
18627,2016,2336008.0,ind
24252,2016,83373.0,ind
19135,2016,0.0,ind
11215,2016,4567.0,ind
1384,2016,2026.0,con
21350,2016,836451.0,con
22136,2016,5304000.0,con
14206,2016,2747936.0,ind
21970,2016,461495.0,ind
4820,2016,27350511.0,con
21490,2016,4628360.0,con
19941,2016,16601.0,ind
23809,2016,660295.0,ind
19470,2016,0.0,ind
14664,2016,416850.0,con
20044,2016,66776.0,ind
18716,2016,39023.0,ind
21466,2016,0.0,ind
24015,2016,4997896.0,ind
12190,2016,138415.0,con
21636,2016,2372256.0,con
22616,2016,4799293.0,ind
5762,2016,167192.0,con
6955,2016,0.0,ind
3115,2016,268709.0,con
20133,2016,0.0,ind
80179,2016,574087173.0,con
3654,2016,91448.0,con
21148,2016,248330.0,con
6017,2016,27238.0,ind
13471,2016,323285.0,con
4774,2016,9588.0,con
21440,2016,1049596.0,con
22632,2016,0.0,ind
8605,2016,30426264.0,ind
18589,2016,89318.0,ind
22977,2016,726748.0,ind
23698,2016,3309974.0,ind
13765,2016,4600.0,con
23744,2016,429736.0,ind
23620,2016,3010685.0,con
21032,2016,1359485.0,con
19232,2016,17019.0,ind
24040,2016,0.0,ind
20648,2016,479919.0,ind
18430,2016,256983.0,ind
15024,2016,412125.0,ind
24066,2016,750929.0,ind
23930,2016,3603275.0,con
9342,2016,109450.0,con
23000,2016,1213917.0,con
22268,2016,1693090.0,ind
14320,2016,7868714.0,con
24236,2016,0.0,con
10561,2016,0.0,ind
19305,2016,83046.0,con
1694,2016,0.0,con
24198,2016,0.0,ind
16241,2016,317293.0,ind
9954,2016,0.0,ind
3298,2016,74176.0,con
7595,2016,585345.0,con
19739,2016,3019276.0,con
23817,2016,5303.0,con
23248,2016,354455.0,con
2577,2016,882709.0,ind
14605,2016,1477632.0,ind
21016,2016,1049648.0,con
6343,2016,2498246.0,con
11223,2016,364374.0,con
15253,2016,7933996.0,con
23175,2016,1186518.0,con
22489,2016,0.0,ind
80071,2016,18829203.0,con
17540,2016,0.0,ind
12262,2016,155939.0,con
17388,2016,0.0,ind
22934,2016,0.0,ind
24023,2016,3736025.0,ind
11592,2016,0.0,con
17965,2016,0.0,ind
20192,2016,2164218.0,ind
22560,2016,552433.0,con
18660,2016,21733218.0,con
15784,2016,0.0,ind
15261,2016,11748.0,ind
24350,2016,69620.0,con
20397,2016,1083209.0,ind
18333,2016,0.0,ind
23892,2016,780783.0,ind
16748,2016,460044.0,ind
4669,2016,1418077.0,con
22586,2016,20748.0,con
11312,2016,59857417.0,con
21393,2016,2085265.0,con
8036,2016,6294192.0,ind
4081,2016,134771.0,con
22608,2016,1247478.0,ind
20885,2016,1209734.0,ind
24287,2016,13050098.0,ind
20788,2016,12183793.0,con
19330,2016,2924639.0,con
18597,2016,6056.0,ind
14133,2016,2403.0,con
20842,2016,2863404.0,con
21610,2016,2454265.0,con
21814,2016,0.0,ind
23230,2016,10425643.0,con
20168,2016,0.0,ind
19771,2016,6386403.0,con
21989,2016,706742.0,ind
24104,2016,586416.0,ind
17671,2016,10221290.0,con
18538,2016,719.0,ind
19593,2016,65738.0,ind
22055,2016,1098060.0,con
17329,2016,4247194.0,con
23590,2016,1330.0,con
13773,2016,697728.0,con
16292,2016,15179283.0,con
11070,2016,0.0,con
3190,2016,3732827.0,con
4685,2016,6289.0,ind
5770,2016,314127.0,con
20818,2016,0.0,con
22942,2016,1228023.0,con
22080,2016,6288764090.0,ind
6173,2016,539705.0,con
19275,2016,2075209.0,ind
23353,2016,10573553.0,ind
21741,2016,0.0,ind
11932,2016,3414855.0,con
22390,2016,0.0,ind
21091,2016,2824289.0,con
21881,2016,990027.0,con
20796,2016,0.0,con
23310,2016,206055.0,con
18406,2016,0.0,ind
16560,2016,0.0,ind
15083,2016,519902.0,con
20516,2016,3240079.0,con
7544,2016,247465.0,con
18724,2016,1347692.0,con
4707,2016,0.0,con
13030,2016,202611.0,con
19224,2016,0.0,ind
22349,2016,123153.0,con
1228,2016,5030247.0,ind
14451,2016,408083.0,con
