CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
4820,BRASKEM S.A.,2018,2018-12-31,2019-03-13,81173,current_ibov
4820,BRASKEM S.A.,2019,2019-12-31,2020-04-03,92224,current_ibov
4820,BRASKEM S.A.,2020,2020-12-31,2021-03-10,100840,current_ibov
4820,BRASKEM S.A.,2021,2021-12-31,2022-03-16,112600,current_ibov
4820,BRASKEM S.A.,2022,2022-12-31,2023-03-23,124488,current_ibov
4820,BRASKEM S.A.,2023,2023-12-31,2024-07-01,139362,current_ibov
4820,BRASKEM S.A.,2024,2024-12-31,2025-02-27,145080,current_ibov
25291,BRAVA ENERGIA S.A.,2020,2020-12-31,2021-03-17,101006,current_ibov
25291,BRAVA ENERGIA S.A.,2021,2021-12-31,2022-02-22,111958,current_ibov
25291,BRAVA ENERGIA S.A.,2022,2022-12-31,2023-03-08,123994,current_ibov
25291,BRAVA ENERGIA S.A.,2023,2023-12-31,2024-03-07,134516,current_ibov
25291,BRAVA ENERGIA S.A.,2024,2024-12-31,2025-03-20,145612,current_ibov
16292,BRF S.A.,2015,2015-12-31,2016-02-25,53666,historical_ibov
16292,BRF S.A.,2016,2016-12-31,2017-02-23,62776,historical_ibov
16292,BRF S.A.,2017,2017-12-31,2018-02-22,71716,historical_ibov
16292,BRF S.A.,2018,2018-12-31,2019-02-28,80959,historical_ibov
16292,BRF S.A.,2019,2019-12-31,2020-03-03,91306,historical_ibov
16292,BRF S.A.,2020,2020-12-31,2021-02-25,100468,historical_ibov
16292,BRF S.A.,2021,2021-12-31,2022-02-22,111931,historical_ibov
16292,BRF S.A.,2022,2022-12-31,2023-02-28,123762,historical_ibov
16292,BRF S.A.,2023,2023-12-31,2024-02-26,134263,historical_ibov
16292,BRF S.A.,2024,2024-12-31,2025-02-26,145059,historical_ibov
24848,C&A MODAS S.A.,2018,2018-12-31,2019-08-30,87072,current_ibov
24848,C&A MODAS S.A.,2019,2019-12-31,2020-03-23,91737,current_ibov
24848,C&A MODAS S.A.,2020,2020-12-31,2021-03-18,102056,current_ibov
24848,C&A MODAS S.A.,2021,2021-12-31,2022-03-10,112425,current_ibov
24848,C&A MODAS S.A.,2022,2022-12-31,2023-03-01,123795,current_ibov
24848,C&A MODAS S.A.,2023,2023-12-31,2024-02-28,134324,current_ibov
24848,C&A MODAS S.A.,2024,2024-12-31,2025-02-26,145051,current_ibov
18821,CCR S.A.,2015,2015-12-31,2016-02-25,53651,current_ibov
18821,CCR S.A.,2016,2016-12-31,2017-03-06,62916,current_ibov
18821,CCR S.A.,2017,2017-12-31,2018-02-27,71809,current_ibov
18821,CCR S.A.,2018,2018-12-31,2019-03-21,81414,current_ibov
18821,CCR S.A.,2019,2019-12-31,2020-03-05,91386,current_ibov
18821,CCR S.A.,2020,2020-12-31,2021-03-04,100683,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2015,2015-12-31,2016-03-31,54894,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2016,2016-12-31,2017-03-27,63647,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2017,2017-12-31,2018-03-27,72695,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2018,2018-12-31,2019-03-27,81620,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2019,2019-12-31,2020-03-27,91942,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2020,2020-12-31,2021-03-19,102103,current_ibov
2437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2021,2021-12-31,2022-03-18,112739,current_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2015,2015-12-31,2016-03-24,54446,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2016,2016-12-31,2017-03-24,63564,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2017,2017-12-31,2018-03-21,72487,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2018,2018-12-31,2019-03-22,81455,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2019,2019-12-31,2020-02-17,91018,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2020,2020-12-31,2021-03-29,102348,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2021,2021-12-31,2022-03-28,113047,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2022,2022-12-31,2023-02-16,123595,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2023,2023-12-31,2024-02-08,133921,historical_ibov
2577,CESP - CIA ENERGETICA DE SAO PAULO,2024,2024-12-31,2025-02-24,144973,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2015,2015-12-31,2016-07-29,58356,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2016,2016-12-31,2017-03-07,62966,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2017,2017-12-31,2018-02-19,71607,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2018,2018-12-31,2019-03-26,81550,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2019,2019-12-31,2020-10-28,97921,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2020,2020-12-31,2021-02-23,100387,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2021,2021-12-31,2022-02-23,111994,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2022,2022-12-31,2023-02-27,123740,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2023,2023-12-31,2024-02-21,134162,historical_ibov
14826,CIA BRASILEIRA DE DISTRIBUICAO,2024,2024-12-31,2025-02-18,144850,historical_ibov
2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015,2015-12-31,2016-11-12,60912,current_ibov
