CD_CVM,ANO,ID_DOC,new_tier
008451,2021,112080,largest_attachment_fallback
008451,2022,123747,largest_attachment_fallback
008451,2023,134272,largest_attachment_fallback
008451,2024,144984,largest_attachment_fallback
008575,2010,5869,largest_attachment_fallback
008575,2011,14879,largest_attachment_fallback
008575,2012,24838,largest_attachment_fallback
008575,2013,35213,largest_attachment_fallback
008575,2014,44994,largest_attachment_fallback
008575,2015,54197,largest_attachment_fallback_content_filtered
008575,2016,63355,largest_attachment_fallback_content_filtered
008575,2017,72409,largest_attachment_fallback_content_filtered
008575,2018,81272,largest_attachment_fallback_content_filtered
008575,2019,92014,largest_attachment_fallback_content_filtered
008575,2020,100934,largest_attachment_fallback
008575,2021,113075,largest_attachment_fallback
008575,2022,124345,largest_attachment_fallback_content_filtered
008575,2023,134608,largest_attachment_fallback
008575,2024,145430,largest_attachment_fallback
008575,2025,155377,largest_attachment_fallback
008656,2010,5131,largest_attachment_fallback
008656,2011,14378,largest_attachment_fallback
008656,2012,24389,largest_attachment_fallback
008656,2013,34728,largest_attachment_fallback
008656,2014,44902,largest_attachment_fallback
008656,2015,54056,largest_attachment_fallback
008656,2016,62694,largest_attachment_fallback
008656,2017,71860,largest_attachment_fallback
008656,2018,80789,largest_attachment_fallback
008656,2019,91067,largest_attachment_fallback
008656,2020,100394,largest_attachment_fallback
008672,2010,9652,largest_attachment_fallback
008672,2011,15701,largest_attachment_fallback
008672,2012,25062,largest_attachment_fallback
008672,2013,35526,largest_attachment_fallback
008672,2014,45483,largest_attachment_fallback
008672,2015,54394,largest_attachment_fallback
008672,2016,63090,largest_attachment_fallback_content_filtered
008672,2017,72282,largest_attachment_fallback
008672,2018,81229,largest_attachment_fallback
008672,2019,91514,largest_attachment_fallback
008672,2020,100876,largest_attachment_fallback_content_filtered
009393,2011,15468,largest_attachment_fallback
009393,2012,24548,largest_attachment_fallback
009393,2013,34877,largest_attachment_fallback
009393,2014,44011,largest_attachment_fallback
009393,2015,53323,largest_attachment_fallback
009393,2016,63919,largest_attachment_fallback
009393,2017,71401,largest_attachment_fallback
009393,2018,80651,largest_attachment_fallback
009393,2019,91596,largest_attachment_fallback
009393,2020,100694,largest_attachment_fallback
009393,2022,124328,largest_attachment_fallback
009393,2024,145419,largest_attachment_fallback
009393,2025,155834,largest_attachment_fallback
009512,2010,5169,largest_attachment_fallback
009512,2011,14307,largest_attachment_fallback
009512,2012,24066,largest_attachment_fallback
009512,2013,34830,largest_attachment_fallback
009512,2014,46133,largest_attachment_fallback
009512,2015,54255,largest_attachment_fallback
009512,2016,63571,largest_attachment_fallback
009512,2017,72346,largest_attachment_fallback
009512,2018,80929,largest_attachment_fallback
009512,2019,91100,largest_attachment_fallback_content_filtered
009512,2020,102142,largest_attachment_fallback_content_filtered
009512,2024,145077,largest_attachment_fallback
009989,2010,9576,largest_attachment_fallback
009989,2011,16309,largest_attachment_fallback
009989,2012,31350,largest_attachment_fallback
009989,2013,62831,largest_attachment_fallback
009989,2014,62835,largest_attachment_fallback
009989,2015,68337,largest_attachment_fallback
009989,2016,64355,largest_attachment_fallback
009989,2017,77828,largest_attachment_fallback
009989,2018,85177,largest_attachment_fallback
009989,2019,93573,largest_attachment_fallback_content_filtered
009989,2020,102432,largest_attachment_fallback
010456,2010,6003,largest_attachment_fallback
010456,2011,23121,largest_attachment_fallback
010456,2012,40224,largest_attachment_fallback
010456,2013,40225,largest_attachment_fallback
010456,2014,44912,largest_attachment_fallback
010456,2015,53857,largest_attachment_fallback
010456,2016,63433,largest_attachment_fallback
010456,2017,71482,largest_attachment_fallback
010456,2018,80705,largest_attachment_fallback
010456,2019,90836,largest_attachment_fallback
010456,2020,100169,largest_attachment_fallback
010456,2021,111978,largest_attachment_fallback
010456,2022,123822,largest_attachment_fallback
010456,2023,134314,largest_attachment_fallback
011312,2010,6058,largest_attachment_fallback
011312,2011,15959,largest_attachment_fallback
011312,2012,26434,largest_attachment_fallback
011312,2013,34636,largest_attachment_fallback
011312,2014,45350,largest_attachment_fallback
011312,2015,54404,largest_attachment_fallback
011312,2016,63441,largest_attachment_fallback
011312,2017,73285,largest_attachment_fallback
011312,2018,81560,largest_attachment_fallback
011312,2019,91839,largest_attachment_fallback
