CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
021490,2017,72116,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00130204120000000000000000.docx.pdf', 'size_bytes': 2013440}]",ALUPAR INVESTIMENTO S/A,
021490,2018,83727,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00123504120000000000000000.docx.pdf', 'size_bytes': 1965546}]",ALUPAR INVESTIMENTO S/A,
021490,2019,91503,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121204120000000000000000.pdf.pdf', 'size_bytes': 2205133}]",ALUPAR INVESTIMENTO S/A,
021490,2020,102147,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122104120000000000000000.pdf.pdf', 'size_bytes': 2339311}]",ALUPAR INVESTIMENTO S/A,
021490,2021,112043,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\021490\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 31.12.2021 - DFP.pdf', 'size_bytes': 2267434}]",ALUPAR INVESTIMENTO S/A,
021490,2022,123842,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\021490\\2022\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 31.12.2022 - DFP.pdf', 'size_bytes': 2413882}]",ALUPAR INVESTIMENTO S/A,
021490,2023,134463,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\021490\\2023\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 31.12.2023 - CVM.pdf', 'size_bytes': 2228030}]",ALUPAR INVESTIMENTO S/A,
021490,2024,145069,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\021490\\2024\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 31.12.2024 - CVM - FINAL.pdf', 'size_bytes': 2449151}]",ALUPAR INVESTIMENTO S/A,
021490,2025,155099,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\021490\\2025\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 31.12.2025 - CVM.pdf', 'size_bytes': 1768779}]",ALUPAR INVESTIMENTO S/A,
024961,2019,91120,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024961\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00129216530000000000000000.pdf.pdf', 'size_bytes': 2047801}]",AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,
024961,2020,102743,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024961\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122204120000000000000000.pdf.pdf', 'size_bytes': 1005204}]",AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,
024961,2021,112504,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\024961\\2021\\notas_explicativas.pdf', 'original_filename': '0744-22 Ambipar ER 4T21.pdf', 'size_bytes': 1703040}]",AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,
024961,2022,124738,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\024961\\2022\\notas_explicativas.pdf', 'original_filename': '1507-23 Ambipar - Notas Explicativas 4ITR22 - com declaração diretores.pdf', 'size_bytes': 1184463}]",AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,
024961,2023,139617,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\024961\\2023\\notas_explicativas.pdf', 'original_filename': 'Ambipar 4ITR23 - Notas Explicativas (PT)_com declaração diretores.pdf', 'size_bytes': 1275907}]",AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,
024961,2024,154596,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\024961\\2024\\notas_explicativas.pdf', 'original_filename': '1639-25 Ambipar 4ITR24 - Notas Explicativas_27032025 - RI_v3.pdf', 'size_bytes': 1601957}]",AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,
018961,2010,8548,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018961\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001604120000000000000000.pdf.pdf', 'size_bytes': 967912}]",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,
018961,2011,15882,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018961\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00005316530000000000000000.pdf.pdf', 'size_bytes': 2159579}]",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,
018961,2012,25251,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018961\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00003404120000000000000000.pdf.pdf', 'size_bytes': 506992}]",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,
018961,2013,35221,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018961\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00007916530000000000000000.pdf.pdf', 'size_bytes': 663761}]",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,
023248,2012,32051,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000404120000000000000000.pdf.pdf', 'size_bytes': 1129760}]",ANIMA HOLDING S.A.,
023248,2013,35381,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\Empresasnet\\Temp\\files\\00002504120000000000000000.pdf.pdf', 'size_bytes': 27419844}]",ANIMA HOLDING S.A.,
023248,2014,44335,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000704120000000000000000.pdf.pdf', 'size_bytes': 464802}]",ANIMA HOLDING S.A.,
023248,2015,53928,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023248\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121604120000000000000000.pdf.pdf', 'size_bytes': 387413}]",ANIMA HOLDING S.A.,
