CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA
016292,2022,123762,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\016292\\2022\\notas_explicativas.pdf', 'original_filename': 'DFP 31.12.22 - EmpresasNet.pdf', 'size_bytes': 1254125}]",BRF S.A.
016292,2023,134263,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\016292\\2023\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas.pdf', 'size_bytes': 835253}]",BRF S.A.
016292,2024,145059,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\016292\\2024\\notas_explicativas.pdf', 'original_filename': 'DFP 31.12.24_PT_26.02.25_ENET.pdf', 'size_bytes': 906319}]",BRF S.A.
002577,2015,54446,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002577\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124904120000000000000000.docx.pdf', 'size_bytes': 751296}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2016,63564,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002577\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125404120000000000000000.docx.pdf', 'size_bytes': 835167}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2017,72487,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002577\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125904120000000000000000.pdf.pdf', 'size_bytes': 922484}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2018,81455,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002577\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00124204120000000000000000.docx.pdf', 'size_bytes': 784007}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2019,91018,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002577\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00122004120000000000000000.docx.pdf', 'size_bytes': 1746764}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2020,102348,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\002577\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00123004120000000000000000.docx.pdf', 'size_bytes': 2108690}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2021,113047,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002577\\2021\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas 3.pdf', 'size_bytes': 1171456}]",CESP - CIA ENERGETICA DE SAO PAULO
002577,2022,123595,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\002577\\2022\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas CESP - CVM.pdf', 'size_bytes': 1192089}]",CESP - CIA ENERGETICA DE SAO PAULO
